variavel,primeira_data,ultima_data,observacoes,valor_inicial,valor_final
selic_meta,2021-08-31,2026-08-31,61,5.25,14.0
selic_over,2021-08-31,2026-08-31,61,0.01993,0.051987
ipca,2021-08-31,2026-07-31,60,0.87,0.07
igp_m,2021-08-31,2026-07-31,60,0.66,-1.16
inpc,2021-08-31,2026-07-31,60,0.88,-0.01
ibc_br_sa,2021-08-31,2026-05-31,58,97.07568,111.03587
ibc_br,2021-08-31,2026-05-31,58,99.32829,109.52993
cambio_venda_usd,2021-08-31,2026-08-31,61,5.1433,5.1639
cambio_compra_usd,2021-08-31,2026-08-31,61,5.1427,5.1632
saldo_credito_total,2021-08-31,2026-06-30,59,4346060.0,7355800.0
saldo_credito_pj,2021-08-31,2026-06-30,59,1851006.0,2749001.0
saldo_credito_pf,2021-08-31,2026-06-30,59,2495054.0,4606799.0
inadimplencia_total,2021-08-31,2026-06-30,59,2.37,4.68
reservas_internacionais,2021-08-31,2026-07-31,60,370395.0,369742.0
var_pct_ibc_br_sa,2021-09-30,2026-05-31,57,-0.119484,0.070793
var_pct_ibc_br,2021-09-30,2026-05-31,57,-2.094902,-3.915762
var_pct_cambio_venda_usd,2021-09-30,2026-08-31,60,5.757004,1.705631
var_pct_cambio_compra_usd,2021-09-30,2026-08-31,60,5.757676,1.703863
var_pct_saldo_credito_total,2021-09-30,2026-06-30,58,2.185796,0.714468
var_pct_saldo_credito_pj,2021-09-30,2026-06-30,58,2.329166,1.515494
var_pct_saldo_credito_pf,2021-09-30,2026-06-30,58,2.079394,0.242446
var_pct_reservas_internacionais,2021-09-30,2026-07-31,59,-0.407403,0.594192
ipca_acum_12m,2022-07-31,2026-07-31,49,10.069235,4.443025
igp_m_acum_12m,2022-07-31,2026-07-31,49,10.074751,2.772183
inpc_acum_12m,2022-07-31,2026-07-31,49,10.124804,4.098046
dif_selic_meta,2021-09-30,2026-08-31,60,1.0,-0.25
dif_selic_over,2021-09-30,2026-08-31,60,0.001073,-0.000544
dif_inadimplencia_total,2021-09-30,2026-06-30,58,-0.03,-0.06
