data,comex_exportacoes_fob_usd,comex_importacoes_fob_usd,comex_saldo_comercial_usd,comex_corrente_comercio_usd,comex_exportacoes_kg,comex_importacoes_kg,comex_importacoes_frete_usd,comex_importacoes_seguro_usd,comex_importacoes_cif_usd,acucares_cana_exp_fob,acucares_cana_exp_kg,acucares_cana_imp_fob,acucares_cana_imp_kg,cafe_nao_torrado_exp_fob,cafe_nao_torrado_exp_kg,cafe_nao_torrado_imp_fob,cafe_nao_torrado_imp_kg,carne_bovina_congelada_exp_fob,carne_bovina_congelada_exp_kg,carne_bovina_congelada_imp_fob,carne_bovina_congelada_imp_kg,celulose_nao_coniferas_exp_fob,celulose_nao_coniferas_exp_kg,celulose_nao_coniferas_imp_fob,celulose_nao_coniferas_imp_kg,fuel_oil_exp_fob,fuel_oil_exp_kg,fuel_oil_imp_fob,fuel_oil_imp_kg,milho_em_grao_exp_fob,milho_em_grao_exp_kg,milho_em_grao_imp_fob,milho_em_grao_imp_kg,minerio_ferro_nao_aglomerado_exp_fob,minerio_ferro_nao_aglomerado_exp_kg,minerio_ferro_nao_aglomerado_imp_fob,minerio_ferro_nao_aglomerado_imp_kg,oleos_brutos_petroleo_exp_fob,oleos_brutos_petroleo_exp_kg,oleos_brutos_petroleo_imp_fob,oleos_brutos_petroleo_imp_kg,residuos_oleo_soja_exp_fob,residuos_oleo_soja_exp_kg,residuos_oleo_soja_imp_fob,residuos_oleo_soja_imp_kg,soja_exceto_semeadura_exp_fob,soja_exceto_semeadura_exp_kg,soja_exceto_semeadura_imp_fob,soja_exceto_semeadura_imp_kg
2020-01-31,14429715267,17190165488,-2760450221,31619880755,46718273016,12206525099,641249369,11309879,17842724736,395907378.0,1403790404.0,42579.0,41657.0,357877575.0,163332129.0,,,500185177.0,103909023.0,9788257.0,1182973.0,488810441.0,1351894846.0,23393.0,40720.0,401663716.0,955961547.0,,,349915062.0,2083530104.0,26216991.0,196178640.0,1627139024.0,25418986258.0,6207.0,7200.0,1707992437.0,4221906804.0,207990371.0,432290309.0,281324952.0,831821378.0,,,504774218.0,1397018249.0,6305340.0,19690000.0
2020-02-29,15356449520,13849450579,1506998941,29205900099,43930739973,10987648835,574605363,10217507,14434273449,315246552.0,1100829789.0,,,380335045.0,168533489.0,,,408138956.0,93613707.0,5614443.0,789959.0,385341945.0,1021432630.0,,,404649679.0,1059454064.0,,,66609384.0,339186854.0,12586676.0,87550880.0,1402300615.0,20894090031.0,,,2316023766.0,5881213247.0,333210945.0,689099760.0,200091469.0,604759726.0,2282.0,2500.0,1692755740.0,4833963765.0,18348101.0,58738809.0
2020-03-31,18312350349,14266744622,4045605727,32579094971,53436544555,12846278776,644972732,10103653,14921821007,349154261.0,1210250230.0,39459.0,41184.0,409748404.0,182486761.0,,,468709918.0,108076051.0,6883075.0,943236.0,521172140.0,1285635485.0,12446.0,20480.0,402851250.0,1553966166.0,,,85840004.0,471342483.0,12143510.0,73944650.0,1177267022.0,19340684881.0,13333.0,167955.0,2023525022.0,6381916325.0,301306165.0,664246199.0,392837021.0,1178621604.0,,,3742530966.0,10853230037.0,8231479.0,27555840.0
2020-04-30,17593798650,11431019725,6162778925,29024818375,57512762338,12322663734,608031946,9068360,12048120031,369940165.0,1294507652.0,108517.0,113144.0,365386632.0,164908865.0,,,462911352.0,105939413.0,4669960.0,600743.0,448281369.0,1145319247.0,29042.0,60480.0,239084398.0,943922605.0,,,2437667.0,5842945.0,16133735.0,93448070.0,1498749486.0,22735126287.0,1297.0,1200.0,1817132846.0,6614554463.0,340394732.0,723401244.0,450594424.0,1367252490.0,,,5030997510.0,14854933923.0,9726000.0,33500000.0
2020-05-31,17519841090,10681945943,6837895147,28201787033,58376191041,11227644734,587657373,8032060,11277635376,582817823.0,2181033837.0,96259.0,102419.0,467676028.0,215668905.0,,,635635329.0,144083378.0,6884464.0,1276175.0,544086967.0,1434443890.0,,,239883718.0,1103585848.0,,,5348368.0,23621385.0,1330294.0,8856140.0,1251054621.0,20036571206.0,5429.0,6000.0,1386002199.0,8256987023.0,77926223.0,249201406.0,470731563.0,1435439971.0,,,4700002060.0,14108152631.0,12549265.0,43028380.0
2020-06-30,17478971342,10977106324,6501865018,28456077666,63843390897,11222057649,553399170,8379468,11538884962,631519476.0,2412322052.0,76023.0,81647.0,281246789.0,141481182.0,,,604799862.0,140241131.0,6930231.0,1311883.0,529588108.0,1462371507.0,20000.0,40320.0,251780918.0,1099502191.0,,,49872281.0,311552304.0,574800.0,4056000.0,1828931669.0,29204178265.0,887.0,1200.0,1156303096.0,5448127730.0,485468302.0,1401775250.0,455317664.0,1360819609.0,,,4295970036.0,12741608341.0,26259850.0,89762000.0
2020-07-31,19416007176,11814764185,7601242991,31230771361,71482917960,10926569247,506067100,8696824,12329528109,738332666.0,2767049867.0,40583.0,41544.0,323348856.0,167763306.0,31418.0,20000.0,633121722.0,155571778.0,5520849.0,1030571.0,441115081.0,1368889448.0,,,333827181.0,1217306650.0,,,629286793.0,3976875672.0,6057784.0,44341420.0,2240502809.0,32321490028.0,,,1928276214.0,7794507662.0,259549172.0,556074796.0,435106176.0,1362670839.0,,,3458453800.0,9954723914.0,37738073.0,126176730.0
2020-08-31,17403775488,11585200604,5818574884,28988976092,62959138217,10927114628,483149979,8665192,12077015775,725398677.0,2730888479.0,190202.0,204476.0,369973288.0,190647076.0,,,577884066.0,145647057.0,5702609.0,948420.0,394172942.0,1204736967.0,12661.0,20400.0,235528363.0,749144033.0,,,993372582.0,6240800125.0,9018747.0,69613220.0,2257839829.0,29962074042.0,4993.0,9400.0,1496515259.0,5258498082.0,86395749.0,283528174.0,398926122.0,1210005104.0,,,2061561399.0,5833571022.0,24121412.0,78913420.0
2020-09-30,18223387712,13139951686,5083436026,31363339398,67381151109,12310892647,551099731,9455521,13700506938,829214014.0,3022879474.0,42476.0,41904.0,434316203.0,220909388.0,,,511934741.0,126640567.0,8003395.0,1335223.0,425670648.0,1101417646.0,,,166197100.0,535600388.0,,,1033322980.0,6361269160.0,19134531.0,146966810.0,2961967165.0,36063535603.0,9180.0,540000.0,1471324600.0,5025244404.0,87489456.0,257058813.0,439202055.0,1319382440.0,,,1555922999.0,4259307186.0,16823250.0,50835580.0
2020-10-31,17649335596,13245304357,4404031239,30894639953,57991649032,12447483366,624622935,9594199,13879521491,990977080.0,3528919974.0,119619.0,123596.0,463355120.0,225200660.0,,,615080455.0,145870236.0,7528080.0,1150025.0,511010404.0,1379168149.0,13281.0,20480.0,157717221.0,516047889.0,,,825059090.0,4999747202.0,24934801.0,190781240.0,2640088915.0,29656311186.0,4590.0,270000.0,1262950881.0,4570639521.0,98413669.0,300889711.0,401461146.0,1138810653.0,,,885359451.0,2422070300.0,35511543.0,97310640.0
