data,fonte,nome,grupo,valor,fluxo,metrica_origem,unidade,tipo,descricao,variavel_calculada,formula,frequencia_original,frequencia_final
1997-01-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,6269630897,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1997-02-28,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,7461582548,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1997-03-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8613006171,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1997-04-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,10214262049,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1997-05-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9444227862,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1997-06-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,10112427863,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1997-07-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,11087376527,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1997-08-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,10504760219,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1997-09-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,10080158929,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1997-10-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,10499530889,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1997-11-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9305192249,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1997-12-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9893301388,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1998-01-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8619890608,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1998-02-28,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,7732583598,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1998-03-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9516615306,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1998-04-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9278836038,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1998-05-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9422503303,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1998-06-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9658729341,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1998-07-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,10445973424,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1998-08-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8211413733,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1998-09-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,10337860374,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1998-10-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,9541362423,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1998-11-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8510676868,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1998-12-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8473019441,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1999-01-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,6693879237,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1999-02-28,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,6499890547,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1999-03-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,7960429322,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1999-04-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,7459251694,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1999-05-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8554315030,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1999-06-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8849996530,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1999-07-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8227315248,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1999-08-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8815421981,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1999-09-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8498420890,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
1999-10-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,8838445944,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
