fonte,codigo_sgs,ticker,nome_variavel,nome_original,descricao,grupo,tipo,moeda,unidade,frequencia_original,frequencia_final,agregacao_mensal,campo_preco,periodo_coleta,variavel_calculada,fluxo,metrica_origem,formula,nivel_detalhamento,codigo_ncm,produto,grupo_produto
Comex Stat/MDIC,,,comex_corrente_comercio_usd,,Corrente mensal de comércio exterior brasileira.,comercio_exterior,valor_monetario,USD,US$,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,True,calculado,,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,Brasil total,,,
Comex Stat/MDIC,,,comex_exportacoes_fob_usd,metricFOB,Valor mensal total das exportações brasileiras em dólares FOB.,comercio_exterior,valor_monetario,USD,US$ FOB,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricFOB,,Brasil total,,,
Comex Stat/MDIC,,,comex_exportacoes_kg,metricKG,Peso líquido mensal total das exportações brasileiras.,comercio_exterior,peso_liquido,,kg líquido,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricKG,,Brasil total,,,
Comex Stat/MDIC,,,comex_importacoes_cif_usd,metricCIF,Valor mensal total das importações brasileiras em dólares CIF.,comercio_exterior,valor_monetario,USD,US$ CIF,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricCIF,,Brasil total,,,
Comex Stat/MDIC,,,comex_importacoes_fob_usd,metricFOB,Valor mensal total das importações brasileiras em dólares FOB.,comercio_exterior,valor_monetario,USD,US$ FOB,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricFOB,,Brasil total,,,
Comex Stat/MDIC,,,comex_importacoes_frete_usd,metricFreight,Valor mensal total do frete das importações brasileiras.,comercio_exterior,valor_monetario,USD,US$,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricFreight,,Brasil total,,,
Comex Stat/MDIC,,,comex_importacoes_kg,metricKG,Peso líquido mensal total das importações brasileiras.,comercio_exterior,peso_liquido,,kg líquido,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricKG,,Brasil total,,,
Comex Stat/MDIC,,,comex_importacoes_seguro_usd,metricInsurance,Valor mensal total do seguro das importações brasileiras.,comercio_exterior,valor_monetario,USD,US$,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricInsurance,,Brasil total,,,
Comex Stat/MDIC,,,comex_saldo_comercial_usd,,Saldo comercial mensal brasileiro.,comercio_exterior,valor_monetario,USD,US$,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,True,calculado,,comex_exportacoes_fob_usd - comex_importacoes_fob_usd,Brasil total,,,
Comex Stat/MDIC,,,comex_ncm_02023000_carne_bovina_congelada_exportacoes_fob_usd,metricFOB,"Exportações brasileiras de Carnes desossadas de bovino, congeladas. para o mundo, NCM 02023000, em dólares FOB.",comercio_exterior,valor_monetario,USD,US$ FOB,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricFOB,,NCM Brasil-mundo,02023000,carne_bovina_congelada,proteina_animal
Comex Stat/MDIC,,,comex_ncm_02023000_carne_bovina_congelada_exportacoes_kg,metricKG,"Peso líquido das exportações brasileiras de Carnes desossadas de bovino, congeladas. para o mundo, NCM 02023000.",comercio_exterior,peso_liquido,,kg líquido,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricKG,,NCM Brasil-mundo,02023000,carne_bovina_congelada,proteina_animal
Comex Stat/MDIC,,,comex_ncm_02023000_carne_bovina_congelada_importacoes_fob_usd,metricFOB,"Importações brasileiras de Carnes desossadas de bovino, congeladas. provenientes do mundo, NCM 02023000, em dólares FOB.",comercio_exterior,valor_monetario,USD,US$ FOB,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricFOB,,NCM Brasil-mundo,02023000,carne_bovina_congelada,proteina_animal
Comex Stat/MDIC,,,comex_ncm_02023000_carne_bovina_congelada_importacoes_kg,metricKG,"Peso líquido das importações brasileiras de Carnes desossadas de bovino, congeladas. provenientes do mundo, NCM 02023000.",comercio_exterior,peso_liquido,,kg líquido,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,importacao,metricKG,,NCM Brasil-mundo,02023000,carne_bovina_congelada,proteina_animal
Comex Stat/MDIC,,,comex_ncm_09011110_cafe_nao_torrado_exportacoes_fob_usd,metricFOB,"Exportações brasileiras de Café não torrado, não descafeinado, em grão. para o mundo, NCM 09011110, em dólares FOB.",comercio_exterior,valor_monetario,USD,US$ FOB,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricFOB,,NCM Brasil-mundo,09011110,cafe_nao_torrado,agropecuaria
Comex Stat/MDIC,,,comex_ncm_09011110_cafe_nao_torrado_exportacoes_kg,metricKG,"Peso líquido das exportações brasileiras de Café não torrado, não descafeinado, em grão. para o mundo, NCM 09011110.",comercio_exterior,peso_liquido,,kg líquido,mensal,mensal,valor mensal oficial,,2020-01 até o último mês disponível,False,exportacao,metricKG,,NCM Brasil-mundo,09011110,cafe_nao_torrado,agropecuaria
