variavel,primeira_data,ultima_data,observacoes,dados_ausentes,valor_inicial,valor_final
comex_exportacoes_fob_usd,2020-01-31,2026-08-31,80,0,14429715267.0,33157804370.0
comex_importacoes_fob_usd,2020-01-31,2026-08-31,80,0,17190165488.0,25763862100.0
comex_saldo_comercial_usd,2020-01-31,2026-08-31,80,0,-2760450221.0,7393942270.0
comex_corrente_comercio_usd,2020-01-31,2026-08-31,80,0,31619880755.0,58921666470.0
comex_exportacoes_kg,2020-01-31,2026-08-31,80,0,46718273016.0,77119199389.0
comex_importacoes_kg,2020-01-31,2026-08-31,80,0,12206525099.0,14073182023.0
comex_importacoes_frete_usd,2020-01-31,2026-08-31,80,0,641249369.0,1548184686.0
comex_importacoes_seguro_usd,2020-01-31,2026-08-31,80,0,11309879.0,19241881.0
comex_importacoes_cif_usd,2020-01-31,2026-08-31,80,0,17842724736.0,27331288667.0
comex_ncm_02023000_carne_bovina_congelada_exportacoes_fob_usd,2020-01-31,2026-08-31,80,0,500185177.0,967242706.0
comex_ncm_02023000_carne_bovina_congelada_exportacoes_kg,2020-01-31,2026-08-31,80,0,103909023.0,162300453.0
comex_ncm_02023000_carne_bovina_congelada_importacoes_fob_usd,2020-01-31,2026-08-31,80,0,9788257.0,9868969.0
comex_ncm_02023000_carne_bovina_congelada_importacoes_kg,2020-01-31,2026-08-31,80,0,1182973.0,942383.0
comex_ncm_09011110_cafe_nao_torrado_exportacoes_fob_usd,2020-01-31,2026-08-31,80,0,357877575.0,1094109253.0
comex_ncm_09011110_cafe_nao_torrado_exportacoes_kg,2020-01-31,2026-08-31,80,0,163332129.0,206264157.0
comex_ncm_09011110_cafe_nao_torrado_importacoes_fob_usd,2020-07-31,2026-07-31,22,58,31418.0,6294.0
comex_ncm_09011110_cafe_nao_torrado_importacoes_kg,2020-07-31,2026-07-31,22,58,20000.0,1560.0
comex_ncm_10059010_milho_em_grao_exportacoes_fob_usd,2020-01-31,2026-08-31,80,0,349915062.0,1002656682.0
comex_ncm_10059010_milho_em_grao_exportacoes_kg,2020-01-31,2026-08-31,80,0,2083530104.0,4653100189.0
comex_ncm_10059010_milho_em_grao_importacoes_fob_usd,2020-01-31,2026-08-31,80,0,26216991.0,33273820.0
