data,valor
2021-07-31,5.121
2021-08-31,5.1427
2021-09-30,5.4388
2021-10-31,5.6424
2021-11-30,5.6193
2021-12-31,5.5799
2022-01-31,5.3568
2022-02-28,5.1388
2022-03-31,4.7372
2022-04-30,4.9185
2022-05-31,4.7283
2022-06-30,5.2374
2022-07-31,5.1878
2022-08-31,5.1784
2022-09-30,5.406
2022-10-31,5.2564
2022-11-30,5.2935
2022-12-31,5.2171
2023-01-31,5.0987
2023-02-28,5.2072
2023-03-31,5.0798
2023-04-30,5.0001
2023-05-31,5.0953
2023-06-30,4.8186
2023-07-31,4.7409
2023-08-31,4.9213
2023-09-30,5.007
2023-10-31,5.0569
2023-11-30,4.9349
2023-12-31,4.8407
2024-01-31,4.9529
2024-02-29,4.9827
2024-03-31,4.9956
2024-04-30,5.1712
2024-05-31,5.241
2024-06-30,5.5583
2024-07-31,5.6615
2024-08-31,5.6556
2024-09-30,5.4475
2024-10-31,5.7773
2024-11-30,6.0529
2024-12-31,6.1917
2025-01-31,5.8295
2025-02-28,5.8482
2025-03-31,5.7416
2025-04-30,5.6602
2025-05-31,5.7081
2025-06-30,5.4565
2025-07-31,5.6015
2025-08-31,5.4258
2025-09-30,5.318
2025-10-31,5.3837
2025-11-30,5.3332
2025-12-31,5.5018
2026-01-31,5.2295
2026-02-28,5.1489
2026-03-31,5.2188
2026-04-30,4.988
2026-05-31,5.0563
2026-06-30,5.176
2026-07-31,5.0774
