data,valor
2021-07-31,5.1216
2021-08-31,5.1433
2021-09-30,5.4394
2021-10-31,5.643
2021-11-30,5.6199
2021-12-31,5.5805
2022-01-31,5.3574
2022-02-28,5.1394
2022-03-31,4.7378
2022-04-30,4.9191
2022-05-31,4.7289
2022-06-30,5.238
2022-07-31,5.1884
2022-08-31,5.179
2022-09-30,5.4066
2022-10-31,5.257
2022-11-30,5.2941
2022-12-31,5.2177
2023-01-31,5.0993
2023-02-28,5.2078
2023-03-31,5.0804
2023-04-30,5.0007
2023-05-31,5.0959
2023-06-30,4.8192
2023-07-31,4.7415
2023-08-31,4.9219
2023-09-30,5.0076
2023-10-31,5.0575
2023-11-30,4.9355
2023-12-31,4.8413
2024-01-31,4.9535
2024-02-29,4.9833
2024-03-31,4.9962
2024-04-30,5.1718
2024-05-31,5.2416
2024-06-30,5.5589
2024-07-31,5.6621
2024-08-31,5.6562
2024-09-30,5.4481
2024-10-31,5.7779
2024-11-30,6.0535
2024-12-31,6.1923
2025-01-31,5.8301
2025-02-28,5.8488
2025-03-31,5.7422
2025-04-30,5.6608
2025-05-31,5.7087
2025-06-30,5.4571
2025-07-31,5.6021
2025-08-31,5.4264
2025-09-30,5.3186
2025-10-31,5.3843
2025-11-30,5.3338
2025-12-31,5.5024
2026-01-31,5.2301
2026-02-28,5.1495
2026-03-31,5.2194
2026-04-30,4.9886
2026-05-31,5.0569
2026-06-30,5.1766
2026-07-31,5.0742
