data,valor
2021-07-31,0.016137
2021-08-31,0.019413
2021-09-30,0.021003
2021-10-31,0.024244
2021-11-30,0.029256
2021-12-31,0.033316
2022-01-31,0.034749
2022-02-28,0.039598
2022-03-31,0.041954
2022-04-30,0.043739
2022-05-31,0.046796
2022-06-30,0.048116
2022-07-31,0.049037
2022-08-31,0.05056
2022-09-30,0.050788
2022-10-31,0.050788
2022-11-30,0.050788
2022-12-31,0.050788
2023-01-31,0.050788
2023-02-28,0.050788
2023-03-31,0.050788
2023-04-30,0.050788
2023-05-31,0.050788
2023-06-30,0.050788
2023-07-31,0.050788
2023-08-31,0.049189
2023-09-30,0.048422
2023-10-31,0.047279
2023-11-30,0.045601
2023-12-31,0.044537
2024-01-31,0.043739
2024-02-29,0.041957
2024-03-31,0.04142
2024-04-30,0.040168
2024-05-31,0.039484
2024-06-30,0.03927
2024-07-31,0.03927
2024-08-31,0.03927
2024-09-30,0.039612
2024-10-31,0.040168
2024-11-30,0.04158
2024-12-31,0.044158
2025-01-31,0.045833
2025-02-28,0.049037
2025-03-31,0.050508
2025-04-30,0.052531
2025-05-31,0.053936
2025-06-30,0.054569
2025-07-31,0.055131
2025-08-31,0.055131
2025-09-30,0.055131
2025-10-31,0.055131
2025-11-30,0.055131
2025-12-31,0.055131
2026-01-31,0.055131
2026-02-28,0.055131
2026-03-31,0.054777
2026-04-30,0.054223
2026-05-31,0.0534
2026-06-30,0.053028
2026-07-31,0.052531
