data,valor
2021-08-31,0.02
2021-09-30,0.05
2021-10-31,-0.02
2021-11-30,0.02
2021-12-31,0.04
2022-01-31,0.21
2022-02-28,0.12
2022-03-31,0.07
2022-04-30,0.09
2022-05-31,0.11
2022-06-30,-0.08
2022-07-31,0.14
2022-08-31,0.07
2022-09-30,0.02
2022-10-31,0.09
2022-11-30,0.03
2022-12-31,0.02
2023-01-31,0.17
2023-02-28,0.05
2023-03-31,-0.05
2023-04-30,0.15
2023-05-31,0.09
2023-06-30,-0.1
2023-07-31,-0.03
2023-08-31,-0.1
2023-09-30,-0.12
2023-10-31,-0.03
2023-11-30,-0.09
2023-12-31,-0.13
2024-01-31,0.01
2024-02-29,0.0
2024-03-31,-0.05
2024-04-30,0.04
2024-05-31,0.07
2024-06-30,-0.11
2024-07-31,0.07
2024-08-31,0.04
2024-09-30,0.01
2024-10-31,-0.04
2024-11-30,-0.04
2024-12-31,-0.12
2025-01-31,0.26
2025-02-28,0.07
2025-03-31,0.07
2025-04-30,0.22
2025-05-31,0.11
2025-06-30,0.05
2025-07-31,0.25
2025-08-31,0.26
2025-09-30,-0.03
2025-10-31,0.1
2025-11-30,0.13
2025-12-31,0.0
2026-01-31,0.26
2026-02-28,0.18
2026-03-31,-0.16
2026-04-30,0.11
2026-05-31,0.11
