data,valor
2021-08-31,0.66
2021-09-30,0.5
2021-10-31,1.47
2021-11-30,1.02
2021-12-31,0.3
2022-01-31,1.02
2022-02-28,0.4
2022-03-31,0.91
2022-04-30,0.92
2022-05-31,-0.04
2022-06-30,0.46
2022-07-31,1.36
2022-08-31,-0.64
2022-09-30,-0.03
2022-10-31,1.11
2022-11-30,0.84
2022-12-31,-0.88
2023-01-31,0.9
2023-02-28,-0.06
2023-03-31,0.51
2023-04-30,0.63
2023-05-31,0.01
2023-06-30,-0.78
2023-07-31,-0.42
2023-08-31,-0.51
2023-09-30,-0.26
2023-10-31,-0.42
2023-11-30,-0.23
2023-12-31,-0.87
2024-01-31,-0.14
2024-02-29,-0.15
2024-03-31,0.29
2024-04-30,-0.28
2024-05-31,-0.11
2024-06-30,0.06
2024-07-31,-0.07
2024-08-31,-0.15
2024-09-30,-0.1
2024-10-31,0.45
2024-11-30,0.51
2024-12-31,0.05
2025-01-31,1.38
2025-02-28,0.65
2025-03-31,0.81
2025-04-30,0.29
2025-05-31,0.07
2025-06-30,0.15
2025-07-31,-0.1
2025-08-31,0.12
2025-09-30,-0.4
2025-10-31,0.57
2025-11-30,0.28
2025-12-31,-0.33
2026-01-31,0.61
2026-02-28,0.18
2026-03-31,0.21
2026-04-30,0.52
2026-05-31,-0.09
