data,valor
2021-08-31,0.003276
2021-09-30,0.001591
2021-10-31,0.00324
2021-11-30,0.005012
2021-12-31,0.00406
2022-01-31,0.001433
2022-02-28,0.004849
2022-03-31,0.002356
2022-04-30,0.001785
2022-05-31,0.003057
2022-06-30,0.00132
2022-07-31,0.000921
2022-08-31,0.001523
2022-09-30,0.000228
2022-10-31,0.0
2022-11-30,0.0
2022-12-31,-0.0
2023-01-31,0.0
2023-02-28,0.0
2023-03-31,0.0
2023-04-30,0.0
2023-05-31,-0.0
2023-06-30,0.0
2023-07-31,0.0
2023-08-31,-0.001599
2023-09-30,-0.000768
2023-10-31,-0.001143
2023-11-30,-0.001678
2023-12-31,-0.001064
2024-01-31,-0.000798
2024-02-29,-0.001782
2024-03-31,-0.000537
2024-04-30,-0.001252
2024-05-31,-0.000684
2024-06-30,-0.000214
2024-07-31,0.0
2024-08-31,0.0
2024-09-30,0.000342
2024-10-31,0.000556
2024-11-30,0.001412
2024-12-31,0.002578
2025-01-31,0.001675
2025-02-28,0.003204
2025-03-31,0.001471
2025-04-30,0.002023
2025-05-31,0.001405
2025-06-30,0.000633
2025-07-31,0.000562
2025-08-31,0.0
2025-09-30,0.0
2025-10-31,0.0
2025-11-30,-0.0
2025-12-31,0.0
2026-01-31,0.0
2026-02-28,0.0
2026-03-31,-0.000354
2026-04-30,-0.000554
2026-05-31,-0.000823
2026-06-30,-0.000372
2026-07-31,-0.000497
