data,valor
2021-09-30,97.10569
2021-10-31,96.52863
2021-11-30,97.85433
2021-12-31,99.32245
2022-01-31,91.67452
2022-02-28,95.64045
2022-03-31,104.53224
2022-04-30,100.22451
2022-05-31,99.74639
2022-06-30,99.32053
2022-07-31,103.95413
2022-08-31,104.51426
2022-09-30,101.19157
2022-10-31,100.07474
2022-11-30,99.15328
2022-12-31,99.97339
2023-01-31,95.09373
2023-02-28,98.65015
2023-03-31,110.62045
2023-04-30,104.03539
2023-05-31,102.71665
2023-06-30,102.285
2023-07-31,105.33914
2023-08-31,106.05945
2023-09-30,101.76242
2023-10-31,101.92849
2023-11-30,101.68208
2023-12-31,101.68652
2024-01-31,99.29136
2024-02-29,102.15158
2024-03-31,109.57244
2024-04-30,109.25226
2024-05-31,104.71219
2024-06-30,105.87342
2024-07-31,111.50432
2024-08-31,110.06264
2024-09-30,107.08272
2024-10-31,109.17883
2024-11-30,105.48993
2024-12-31,104.15749
2025-01-31,102.62361
2025-02-28,106.82695
2025-03-31,114.02633
2025-04-30,112.58856
2025-05-31,108.55662
2025-06-30,107.36878
2025-07-31,113.10359
2025-08-31,110.38013
2025-09-30,109.48882
2025-10-31,110.06407
2025-11-30,106.59541
2025-12-31,107.19319
2026-01-31,103.78191
2026-02-28,106.77083
2026-03-31,118.00063
2026-04-30,113.89942
2026-05-31,109.53002
2026-06-30,109.89427
