data,valor
2021-09-30,96.95313
2021-10-31,97.47791
2021-11-30,99.05295
2021-12-31,99.36759
2022-01-31,97.41759
2022-02-28,98.48287
2022-03-31,99.54331
2022-04-30,99.44726
2022-05-31,99.65249
2022-06-30,99.53078
2022-07-31,101.43252
2022-08-31,101.09886
2022-09-30,101.15209
2022-10-31,101.43094
2022-11-30,100.7113
2022-12-31,100.58566
2023-01-31,100.10937
2023-02-28,103.08344
2023-03-31,103.08526
2023-04-30,103.96006
2023-05-31,102.40467
2023-06-30,102.4398
2023-07-31,102.89895
2023-08-31,102.48797
2023-09-30,102.50227
2023-10-31,102.83037
2023-11-30,103.58799
2023-12-31,104.88262
2024-01-31,104.47589
2024-02-29,104.67291
2024-03-31,104.68779
2024-04-30,104.6751
2024-05-31,105.5521
2024-06-30,106.65779
2024-07-31,107.01873
2024-08-31,107.16697
2024-09-30,108.02415
2024-10-31,108.23273
2024-11-30,107.99539
2024-12-31,107.3722
2025-01-31,108.10202
2025-02-28,108.64347
2025-03-31,110.0586
2025-04-30,109.59971
2025-05-31,108.80425
2025-06-30,108.90168
2025-07-31,108.39998
2025-08-31,108.79892
2025-09-30,108.7209
2025-10-31,108.73364
2025-11-30,109.24151
2025-12-31,109.46142
2026-01-31,110.07661
2026-02-28,110.77581
2026-03-31,110.60765
2026-04-30,110.90086
2026-05-31,110.93102
2026-06-30,110.22154
