data,valor
2022-06-30,10.700862
2022-07-31,10.074751
2022-08-31,8.58755
2022-09-30,8.24876
2022-10-31,6.517038
2022-11-30,5.899363
2022-12-31,5.458422
2023-01-31,3.79089
2023-02-28,1.864495
2023-03-31,0.172427
2023-04-30,-2.158772
2023-05-31,-4.45588
2023-06-30,-6.84947
2023-07-31,-7.713954
2023-08-31,-7.193509
2023-09-30,-5.956714
2023-10-31,-4.560737
2023-11-30,-3.457004
2023-12-31,-3.178284
2024-01-31,-3.31355
2024-02-29,-3.758575
2024-03-31,-4.25878
2024-04-30,-3.040871
2024-05-31,-0.344269
2024-06-30,2.440035
2024-07-31,3.812368
2024-08-31,4.259387
2024-09-30,4.519075
2024-10-31,5.579866
2024-11-30,6.325086
2024-12-31,6.536174
2025-01-31,6.749097
2025-02-28,8.444549
2025-03-31,8.586193
2025-04-30,8.510418
2025-05-31,7.026183
2025-06-30,4.393261
2025-07-31,2.961368
2025-08-31,3.033233
2025-09-30,2.828436
2025-10-31,0.924206
2025-11-30,-0.101973
2025-12-31,-1.042167
2026-01-31,-0.903999
2026-02-28,-2.659212
2026-03-31,-1.819225
2026-04-30,0.619623
2026-05-31,1.964454
2026-06-30,3.177699
