data,valor
2021-07-31,2.94
2021-08-31,2.96
2021-09-30,3.01
2021-10-31,2.99
2021-11-30,3.01
2021-12-31,3.05
2022-01-31,3.26
2022-02-28,3.38
2022-03-31,3.45
2022-04-30,3.54
2022-05-31,3.65
2022-06-30,3.57
2022-07-31,3.71
2022-08-31,3.78
2022-09-30,3.8
2022-10-31,3.89
2022-11-30,3.92
2022-12-31,3.94
2023-01-31,4.11
2023-02-28,4.16
2023-03-31,4.11
2023-04-30,4.26
2023-05-31,4.35
2023-06-30,4.25
2023-07-31,4.22
2023-08-31,4.12
2023-09-30,4.0
2023-10-31,3.97
2023-11-30,3.88
2023-12-31,3.75
2024-01-31,3.76
2024-02-29,3.76
2024-03-31,3.71
2024-04-30,3.75
2024-05-31,3.82
2024-06-30,3.71
2024-07-31,3.78
2024-08-31,3.82
2024-09-30,3.83
2024-10-31,3.79
2024-11-30,3.75
2024-12-31,3.63
2025-01-31,3.89
2025-02-28,3.96
2025-03-31,4.03
2025-04-30,4.25
2025-05-31,4.36
2025-06-30,4.41
2025-07-31,4.66
2025-08-31,4.92
2025-09-30,4.89
2025-10-31,4.99
2025-11-30,5.12
2025-12-31,5.12
2026-01-31,5.38
2026-02-28,5.56
2026-03-31,5.4
2026-04-30,5.51
2026-05-31,5.62
