data,valor
2021-07-31,1.58
2021-08-31,1.56
2021-09-30,1.43
2021-10-31,1.43
2021-11-30,1.46
2021-12-31,1.4
2022-01-31,1.46
2022-02-28,1.44
2022-03-31,1.55
2022-04-30,1.57
2022-05-31,1.57
2022-06-30,1.52
2022-07-31,1.6
2022-08-31,1.62
2022-09-30,1.65
2022-10-31,1.77
2022-11-30,1.81
2022-12-31,1.8
2023-01-31,1.94
2023-02-28,2.17
2023-03-31,2.2
2023-04-30,2.45
2023-05-31,2.58
2023-06-30,2.63
2023-07-31,2.73
2023-08-31,2.82
2023-09-30,2.82
2023-10-31,2.92
2023-11-30,2.99
2023-12-31,2.59
2024-01-31,2.77
2024-02-29,2.76
2024-03-31,2.71
2024-04-30,2.76
2024-05-31,2.8
2024-06-30,2.64
2024-07-31,2.52
2024-08-31,2.55
2024-09-30,2.56
2024-10-31,2.52
2024-11-30,2.5
2024-12-31,2.21
2025-01-31,2.43
2025-02-28,2.52
2025-03-31,2.49
2025-04-30,2.72
2025-05-31,2.67
2025-06-30,2.67
2025-07-31,2.79
2025-08-31,2.85
2025-09-30,2.77
2025-10-31,2.82
2025-11-30,2.74
2025-12-31,2.68
2026-01-31,2.87
2026-02-28,3.07
2026-03-31,3.04
2026-04-30,3.15
2026-05-31,3.24
