data,valor
2021-07-31,2.36
2021-08-31,2.37
2021-09-30,2.34
2021-10-31,2.33
2021-11-30,2.36
2021-12-31,2.35
2022-01-31,2.51
2022-02-28,2.57
2022-03-31,2.66
2022-04-30,2.72
2022-05-31,2.79
2022-06-30,2.73
2022-07-31,2.84
2022-08-31,2.9
2022-09-30,2.92
2022-10-31,3.04
2022-11-30,3.07
2022-12-31,3.07
2023-01-31,3.24
2023-02-28,3.36
2023-03-31,3.35
2023-04-30,3.54
2023-05-31,3.65
2023-06-30,3.61
2023-07-31,3.63
2023-08-31,3.61
2023-09-30,3.54
2023-10-31,3.56
2023-11-30,3.53
2023-12-31,3.29
2024-01-31,3.38
2024-02-29,3.38
2024-03-31,3.33
2024-04-30,3.37
2024-05-31,3.43
2024-06-30,3.29
2024-07-31,3.3
2024-08-31,3.33
2024-09-30,3.34
2024-10-31,3.3
2024-11-30,3.27
2024-12-31,3.08
2025-01-31,3.34
2025-02-28,3.41
2025-03-31,3.44
2025-04-30,3.67
2025-05-31,3.72
2025-06-30,3.75
2025-07-31,3.96
2025-08-31,4.14
2025-09-30,4.09
2025-10-31,4.18
2025-11-30,4.23
2025-12-31,4.2
2026-01-31,4.45
2026-02-28,4.64
2026-03-31,4.52
2026-04-30,4.63
2026-05-31,4.74
