data,valor
2021-07-31,1.02
2021-08-31,0.88
2021-09-30,1.2
2021-10-31,1.16
2021-11-30,0.84
2021-12-31,0.73
2022-01-31,0.67
2022-02-28,1.0
2022-03-31,1.71
2022-04-30,1.04
2022-05-31,0.45
2022-06-30,0.62
2022-07-31,-0.6
2022-08-31,-0.31
2022-09-30,-0.32
2022-10-31,0.47
2022-11-30,0.38
2022-12-31,0.69
2023-01-31,0.46
2023-02-28,0.77
2023-03-31,0.64
2023-04-30,0.53
2023-05-31,0.36
2023-06-30,-0.1
2023-07-31,-0.09
2023-08-31,0.2
2023-09-30,0.11
2023-10-31,0.12
2023-11-30,0.1
2023-12-31,0.55
2024-01-31,0.57
2024-02-29,0.81
2024-03-31,0.19
2024-04-30,0.37
2024-05-31,0.46
2024-06-30,0.25
2024-07-31,0.26
2024-08-31,-0.14
2024-09-30,0.48
2024-10-31,0.61
2024-11-30,0.33
2024-12-31,0.48
2025-01-31,0.0
2025-02-28,1.48
2025-03-31,0.51
2025-04-30,0.48
2025-05-31,0.35
2025-06-30,0.23
2025-07-31,0.21
2025-08-31,-0.21
2025-09-30,0.52
2025-10-31,0.03
2025-11-30,0.03
2025-12-31,0.21
2026-01-31,0.39
2026-02-28,0.56
2026-03-31,0.91
2026-04-30,0.81
2026-05-31,0.65
2026-06-30,0.14
