data,valor
2022-06-30,11.919595
2022-07-31,10.124804
2022-08-31,8.825751
2022-09-30,7.191214
2022-10-31,6.460076
2022-11-30,5.974439
2022-12-31,5.932356
2023-01-31,5.711379
2023-02-28,5.47065
2023-03-31,4.361088
2023-04-30,3.834324
2023-05-31,3.741292
2023-06-30,2.998957
2023-07-31,3.527423
2023-08-31,4.057054
2023-09-30,4.505936
2023-10-31,4.141877
2023-11-30,3.851383
2023-12-31,3.706988
2024-01-31,3.820543
2024-02-29,3.861754
2024-03-31,3.397348
2024-04-30,3.232784
2024-05-31,3.335647
2024-06-30,3.697684
2024-07-31,4.060953
2024-08-31,3.707852
2024-09-30,4.091149
2024-10-31,4.600584
2024-11-30,4.840925
2024-12-31,4.767938
2025-01-31,4.174145
2025-02-28,4.866504
2025-03-31,5.201441
2025-04-30,5.316736
2025-05-31,5.201418
2025-06-30,5.18043
2025-07-31,5.127976
2025-08-31,5.054283
2025-09-30,5.096104
2025-10-31,4.490243
2025-11-30,4.177803
2025-12-31,3.897866
2026-01-31,4.303068
2026-02-28,3.357475
2026-03-31,3.768807
2026-04-30,4.109608
2026-05-31,4.420848
