data,valor
2021-07-31,0.96
2021-08-31,0.87
2021-09-30,1.16
2021-10-31,1.25
2021-11-30,0.95
2021-12-31,0.73
2022-01-31,0.54
2022-02-28,1.01
2022-03-31,1.62
2022-04-30,1.06
2022-05-31,0.47
2022-06-30,0.67
2022-07-31,-0.68
2022-08-31,-0.36
2022-09-30,-0.29
2022-10-31,0.59
2022-11-30,0.41
2022-12-31,0.62
2023-01-31,0.53
2023-02-28,0.84
2023-03-31,0.71
2023-04-30,0.61
2023-05-31,0.23
2023-06-30,-0.08
2023-07-31,0.12
2023-08-31,0.23
2023-09-30,0.26
2023-10-31,0.24
2023-11-30,0.28
2023-12-31,0.56
2024-01-31,0.42
2024-02-29,0.83
2024-03-31,0.16
2024-04-30,0.38
2024-05-31,0.46
2024-06-30,0.21
2024-07-31,0.38
2024-08-31,-0.02
2024-09-30,0.44
2024-10-31,0.56
2024-11-30,0.39
2024-12-31,0.52
2025-01-31,0.16
2025-02-28,1.31
2025-03-31,0.56
2025-04-30,0.43
2025-05-31,0.26
2025-06-30,0.24
2025-07-31,0.26
2025-08-31,-0.11
2025-09-30,0.48
2025-10-31,0.09
2025-11-30,0.18
2025-12-31,0.33
2026-01-31,0.33
2026-02-28,0.7
2026-03-31,0.88
2026-04-30,0.67
2026-05-31,0.58
2026-06-30,0.16
