data,valor
2022-06-30,11.88673
2022-07-31,10.069235
2022-08-31,8.727061
2022-09-30,7.168596
2022-10-31,6.470016
2022-11-30,5.900488
2022-12-31,5.784842
2023-01-31,5.77432
2023-02-28,5.596302
2023-03-31,4.650694
2023-04-30,4.184706
2023-05-31,3.935832
2023-06-30,3.161501
2023-07-31,3.992444
2023-08-31,4.608216
2023-09-30,5.185235
2023-10-31,4.819246
2023-11-30,4.683537
2023-12-31,4.621114
2024-01-31,4.506637
2024-02-29,4.496274
2024-03-31,3.925596
2024-04-30,3.688016
2024-05-31,3.925952
2024-06-30,4.227578
2024-07-31,4.498245
2024-08-31,4.237599
2024-09-30,4.42474
2024-10-31,4.758099
2024-11-30,4.873011
2024-12-31,4.831296
2025-01-31,4.559874
2025-02-28,5.05763
2025-03-31,5.47719
2025-04-30,5.529729
2025-05-31,5.319636
2025-06-30,5.351165
2025-07-31,5.225222
2025-08-31,5.130501
2025-09-30,5.172369
2025-10-31,4.680811
2025-11-30,4.461836
2025-12-31,4.264385
2026-01-31,4.441351
2026-02-28,3.812497
2026-03-31,4.142847
2026-04-30,4.39172
2026-05-31,4.724907
