data,valor
2021-07-31,20.26
2021-08-31,20.92
2021-09-30,21.42
2021-10-31,22.89
2021-11-30,23.91
2021-12-31,24.21
2022-01-31,25.23
2022-02-28,25.63
2022-03-31,26.54
2022-04-30,27.46
2022-05-31,27.42
2022-06-30,27.88
2022-07-31,29.24
2022-08-31,28.6
2022-09-30,28.57
2022-10-31,29.68
2022-11-30,30.52
2022-12-31,29.64
2023-01-31,30.54
2023-02-28,30.48
2023-03-31,30.99
2023-04-30,31.62
2023-05-31,31.63
2023-06-30,30.85
2023-07-31,30.43
2023-08-31,29.92
2023-09-30,29.66
2023-10-31,29.24
2023-11-30,29.01
2023-12-31,28.14
2024-01-31,28.0
2024-02-29,27.85
2024-03-31,28.14
2024-04-30,27.86
2024-05-31,27.75
2024-06-30,27.81
2024-07-31,27.74
2024-08-31,27.59
2024-09-30,27.49
2024-10-31,27.94
2024-11-30,28.45
2024-12-31,28.5
2025-01-31,29.88
2025-02-28,30.53
2025-03-31,31.34
2025-04-30,31.63
2025-05-31,31.7
2025-06-30,31.85
2025-07-31,31.75
2025-08-31,31.87
2025-09-30,31.47
2025-10-31,32.04
2025-11-30,32.32
2025-12-31,31.99
2026-01-31,32.6
2026-02-28,32.78
2026-03-31,32.99
2026-04-30,33.51
2026-05-31,33.42
