data,valor
2021-07-31,355671.0
2021-08-31,370395.0
2021-09-30,368886.0
2021-10-31,367927.0
2021-11-30,367772.0
2021-12-31,362204.0
2022-01-31,358398.0
2022-02-28,357740.0
2022-03-31,353169.0
2022-04-30,345097.0
2022-05-31,346415.0
2022-06-30,341958.0
2022-07-31,346403.0
2022-08-31,339664.0
2022-09-30,327580.0
2022-10-31,325546.0
2022-11-30,331505.0
2022-12-31,324703.0
2023-01-31,331122.0
2023-02-28,328098.0
2023-03-31,341158.0
2023-04-30,345725.0
2023-05-31,343489.0
2023-06-30,343620.0
2023-07-31,345476.0
2023-08-31,344177.0
2023-09-30,340324.0
2023-10-31,340247.0
2023-11-30,348406.0
2023-12-31,355034.0
2024-01-31,355066.0
2024-02-29,352705.0
2024-03-31,355008.0
2024-04-30,351599.0
2024-05-31,355560.0
2024-06-30,357827.0
2024-07-31,363282.0
2024-08-31,369214.0
2024-09-30,372016.0
2024-10-31,366096.0
2024-11-30,363003.0
2024-12-31,329730.0
2025-01-31,328303.0
2025-02-28,332508.0
2025-03-31,336157.0
2025-04-30,340789.0
2025-05-31,341459.0
2025-06-30,344440.0
2025-07-31,345111.0
2025-08-31,350767.0
2025-09-30,356582.0
2025-10-31,357103.0
2025-11-30,360578.0
2025-12-31,358234.0
2026-01-31,364367.0
2026-02-28,371074.0
2026-03-31,362002.0
2026-04-30,366913.0
2026-05-31,371137.0
2026-06-30,367558.0
