data,valor
2021-07-31,4.25
2021-08-31,5.25
2021-09-30,6.25
2021-10-31,7.75
2021-11-30,7.75
2021-12-31,9.25
2022-01-31,9.25
2022-02-28,10.75
2022-03-31,11.75
2022-04-30,11.75
2022-05-31,12.75
2022-06-30,13.25
2022-07-31,13.25
2022-08-31,13.75
2022-09-30,13.75
2022-10-31,13.75
2022-11-30,13.75
2022-12-31,13.75
2023-01-31,13.75
2023-02-28,13.75
2023-03-31,13.75
2023-04-30,13.75
2023-05-31,13.75
2023-06-30,13.75
2023-07-31,13.75
2023-08-31,13.25
2023-09-30,12.75
2023-10-31,12.75
2023-11-30,12.25
2023-12-31,11.75
2024-01-31,11.75
2024-02-29,11.25
2024-03-31,10.75
2024-04-30,10.75
2024-05-31,10.5
2024-06-30,10.5
2024-07-31,10.5
2024-08-31,10.5
2024-09-30,10.75
2024-10-31,10.75
2024-11-30,11.25
2024-12-31,12.25
2025-01-31,13.25
2025-02-28,13.25
2025-03-31,14.25
2025-04-30,14.25
2025-05-31,14.75
2025-06-30,15.0
2025-07-31,15.0
2025-08-31,15.0
2025-09-30,15.0
2025-10-31,15.0
2025-11-30,15.0
2025-12-31,15.0
2026-01-31,15.0
2026-02-28,15.0
2026-03-31,14.75
2026-04-30,14.5
2026-05-31,14.5
2026-06-30,14.25
2026-07-31,14.25
