data,valor
2021-08-31,0.423745
2021-09-30,5.757676
2021-10-31,3.743473
2021-11-30,-0.4094
2021-12-31,-0.701155
2022-01-31,-3.99828
2022-02-28,-4.069594
2022-03-31,-7.815054
2022-04-30,3.827155
2022-05-31,-3.867033
2022-06-30,10.767083
2022-07-31,-0.947035
2022-08-31,-0.181194
2022-09-30,4.39518
2022-10-31,-2.767296
2022-11-30,0.705806
2022-12-31,-1.443279
2023-01-31,-2.26946
2023-02-28,2.127993
2023-03-31,-2.446612
2023-04-30,-1.568959
2023-05-31,1.903962
2023-06-30,-5.430495
2023-07-31,-1.612502
2023-08-31,3.805185
2023-09-30,1.74141
2023-10-31,0.996605
2023-11-30,-2.412545
2023-12-31,-1.908853
2024-01-31,2.317847
2024-02-29,0.601668
2024-03-31,0.258896
2024-04-30,3.515093
2024-05-31,1.349783
2024-06-30,6.054188
2024-07-31,1.856683
2024-08-31,-0.104213
2024-09-30,-3.679539
2024-10-31,6.054153
2024-11-30,4.770394
2024-12-31,2.293116
2025-01-31,-5.849767
2025-02-28,0.320782
2025-03-31,-1.822783
2025-04-30,-1.417723
2025-05-31,0.84626
2025-06-30,-4.407771
2025-07-31,2.657381
2025-08-31,-3.13666
2025-09-30,-1.986804
2025-10-31,1.235427
2025-11-30,-0.938017
2025-12-31,3.161329
2026-01-31,-4.949289
2026-02-28,-1.541256
2026-03-31,1.357572
2026-04-30,-4.422473
2026-05-31,1.369286
2026-06-30,2.367344
2026-07-31,-2.007342
