data,valor
2021-08-31,0.423696
2021-09-30,5.757004
2021-10-31,3.74306
2021-11-30,-0.409357
2021-12-31,-0.70108
2022-01-31,-3.99785
2022-02-28,-4.069138
2022-03-31,-7.814142
2022-04-30,3.826671
2022-05-31,-3.866561
2022-06-30,10.765717
2022-07-31,-0.946926
2022-08-31,-0.181173
2022-09-30,4.394671
2022-10-31,-2.766988
2022-11-30,0.705726
2022-12-31,-1.443116
2023-01-31,-2.269199
2023-02-28,2.127743
2023-03-31,-2.446331
2023-04-30,-1.568774
2023-05-31,1.903733
2023-06-30,-5.429855
2023-07-31,-1.612301
2023-08-31,3.804703
2023-09-30,1.741198
2023-10-31,0.996485
2023-11-30,-2.412259
2023-12-31,-1.908621
2024-01-31,2.317559
2024-02-29,0.601595
2024-03-31,0.258865
2024-04-30,3.514671
2024-05-31,1.349627
2024-06-30,6.053495
2024-07-31,1.856482
2024-08-31,-0.104202
2024-09-30,-3.679149
2024-10-31,6.053487
2024-11-30,4.769899
2024-12-31,2.292888
2025-01-31,-5.8492
2025-02-28,0.320749
2025-03-31,-1.822596
2025-04-30,-1.417575
2025-05-31,0.84617
2025-06-30,-4.407308
2025-07-31,2.657089
2025-08-31,-3.136324
2025-09-30,-1.986584
2025-10-31,1.235287
2025-11-30,-0.937912
2025-12-31,3.160973
2026-01-31,-4.94875
2026-02-28,-1.54108
2026-03-31,1.357413
2026-04-30,-4.421964
2026-05-31,1.369122
2026-06-30,2.367063
2026-07-31,-2.007109
