data,valor
2021-09-30,-2.103216
2021-10-31,-0.59426
2021-11-30,1.373375
2021-12-31,1.500312
2022-01-31,-7.700102
2022-02-28,4.326098
2022-03-31,9.297102
2022-04-30,-4.120958
2022-05-31,-0.477049
2022-06-30,-0.426943
2022-07-31,4.665299
2022-08-31,0.538824
2022-09-30,-3.179174
2022-10-31,-1.103679
2022-11-30,-0.920772
2022-12-31,0.827113
2023-01-31,-4.880959
2023-02-28,3.73991
2023-03-31,12.134092
2023-04-30,-5.952841
2023-05-31,-1.267588
2023-06-30,-0.420234
2023-07-31,2.985912
2023-08-31,0.683801
2023-09-30,-4.05153
2023-10-31,0.163194
2023-11-30,-0.241748
2023-12-31,0.004367
2024-01-31,-2.355435
2024-02-29,2.880633
2024-03-31,7.264557
2024-04-30,-0.292209
2024-05-31,-4.155585
2024-06-30,1.108973
2024-07-31,5.318521
2024-08-31,-1.292936
2024-09-30,-2.707476
2024-10-31,1.957468
2024-11-30,-3.378769
2024-12-31,-1.263097
2025-01-31,-1.472655
2025-02-28,4.09588
2025-03-31,6.739292
2025-04-30,-1.260911
2025-05-31,-3.581128
2025-06-30,-1.094212
2025-07-31,5.341227
2025-08-31,-2.407934
2025-09-30,-0.807491
2025-10-31,0.525396
2025-11-30,-3.151492
2025-12-31,0.560793
2026-01-31,-3.182366
2026-02-28,2.880001
2026-03-31,10.517667
2026-04-30,-3.475583
2026-05-31,-3.836192
2026-06-30,0.332557
