data,valor
2021-08-31,0.79016
2021-09-30,-0.119484
2021-10-31,0.53809
2021-11-30,1.529727
2021-12-31,0.384723
2022-01-31,-2.022457
2022-02-28,1.123069
2022-03-31,1.140381
2022-04-30,-0.043542
2022-05-31,0.158456
2022-06-30,-0.03998
2022-07-31,1.648569
2022-08-31,-0.200994
2022-09-30,0.10532
2022-10-31,0.280382
2022-11-30,-0.789595
2022-12-31,-0.079782
2023-01-31,-0.527112
2023-02-28,2.956329
2023-03-31,0.081322
2023-04-30,1.037108
2023-05-31,-1.726531
2023-06-30,0.136874
2023-07-31,0.321216
2023-08-31,-0.370842
2023-09-30,0.123599
2023-10-31,0.290723
2023-11-30,0.632726
2023-12-31,1.324376
2024-01-31,-0.349526
2024-02-29,0.217311
2024-03-31,-0.047642
2024-04-30,0.045001
2024-05-31,0.907072
2024-06-30,0.822263
2024-07-31,0.29212
2024-08-31,0.239878
2024-09-30,0.798178
2024-10-31,0.142964
2024-11-30,-0.155954
2024-12-31,-0.500274
2025-01-31,0.581806
2025-02-28,0.651126
2025-03-31,1.210865
2025-04-30,-0.333662
2025-05-31,-0.658621
2025-06-30,-0.214439
2025-07-31,-0.456297
2025-08-31,0.489219
2025-09-30,-0.150542
2025-10-31,0.073161
2025-11-30,0.513402
2025-12-31,0.131385
2026-01-31,0.582392
2026-02-28,0.548872
2026-03-31,-0.133871
2026-04-30,0.404069
2026-05-31,0.070793
