data,valor
2021-08-31,4.139781
2021-09-30,-0.407403
2021-10-31,-0.259972
2021-11-30,-0.042128
2021-12-31,-1.513981
2022-01-31,-1.050789
2022-02-28,-0.183595
2022-03-31,-1.277744
2022-04-30,-2.285591
2022-05-31,0.381922
2022-06-30,-1.286607
2022-07-31,1.299867
2022-08-31,-1.945422
2022-09-30,-3.557633
2022-10-31,-0.620917
2022-11-30,1.830463
2022-12-31,-2.051854
2023-01-31,1.976883
2023-02-28,-0.913259
2023-03-31,3.980518
2023-04-30,1.338676
2023-05-31,-0.646757
2023-06-30,0.038138
2023-07-31,0.540132
2023-08-31,-0.376003
2023-09-30,-1.119482
2023-10-31,-0.022625
2023-11-30,2.397964
2023-12-31,1.902378
2024-01-31,0.009013
2024-02-29,-0.664947
2024-03-31,0.652954
2024-04-30,-0.96026
2024-05-31,1.126567
2024-06-30,0.637586
2024-07-31,1.52448
2024-08-31,1.632891
2024-09-30,0.758909
2024-10-31,-1.591329
2024-11-30,-0.84486
2024-12-31,-9.16604
2025-01-31,-0.432778
2025-02-28,1.280829
2025-03-31,1.097417
2025-04-30,1.377928
2025-05-31,0.196603
2025-06-30,0.873018
2025-07-31,0.194809
2025-08-31,1.638893
2025-09-30,1.657796
2025-10-31,0.146109
2025-11-30,0.973109
2025-12-31,-0.650067
2026-01-31,1.712009
2026-02-28,1.840727
2026-03-31,-2.444795
2026-04-30,1.356622
2026-05-31,1.151227
2026-06-30,-0.964334
