data,valor
2021-08-31,2.311409
2021-09-30,2.079394
2021-10-31,2.123375
2021-11-30,2.436662
2021-12-31,1.653884
2022-01-31,0.9834
2022-02-28,0.775073
2022-03-31,1.602477
2022-04-30,1.06968
2022-05-31,1.598738
2022-06-30,1.299314
2022-07-31,1.344714
2022-08-31,1.907759
2022-09-30,1.543645
2022-10-31,1.805747
2022-11-30,1.453667
2022-12-31,1.029618
2023-01-31,1.066493
2023-02-28,0.403932
2023-03-31,1.083978
2023-04-30,0.348572
2023-05-31,0.818881
2023-06-30,0.050421
2023-07-31,0.649094
2023-08-31,1.653244
2023-09-30,0.719465
2023-10-31,1.120891
2023-11-30,1.198521
2023-12-31,0.897764
2024-01-31,1.098143
2024-02-29,0.570366
2024-03-31,0.930417
2024-04-30,0.904602
2024-05-31,0.795057
2024-06-30,0.799559
2024-07-31,1.101283
2024-08-31,1.202826
2024-09-30,1.076262
2024-10-31,1.197484
2024-11-30,1.343208
2024-12-31,0.909924
2025-01-31,1.201233
2025-02-28,0.529123
2025-03-31,1.088394
2025-04-30,0.817027
2025-05-31,0.536468
2025-06-30,0.541686
2025-07-31,0.79014
2025-08-31,0.939718
2025-09-30,0.821088
2025-10-31,1.486504
2025-11-30,1.405488
2025-12-31,1.099346
2026-01-31,0.927966
2026-02-28,0.549722
2026-03-31,1.124914
2026-04-30,0.489642
2026-05-31,0.461065
