data,valor
2021-08-31,1.736829
2021-09-30,2.185796
2021-10-31,1.596467
2021-11-30,1.896096
2021-12-31,1.856332
2022-01-31,-0.015397
2022-02-28,0.975774
2022-03-31,1.412174
2022-04-30,0.816526
2022-05-31,1.151595
2022-06-30,1.558597
2022-07-31,0.677481
2022-08-31,1.469562
2022-09-30,1.814888
2022-10-31,0.991621
2022-11-30,1.335643
2022-12-31,1.521325
2023-01-31,0.133468
2023-02-28,-0.042451
2023-03-31,1.002821
2023-04-30,0.027577
2023-05-31,0.504966
2023-06-30,0.472174
2023-07-31,0.098769
2023-08-31,1.352666
2023-09-30,1.203116
2023-10-31,0.495259
2023-11-30,1.013388
2023-12-31,1.646862
2024-01-31,-0.180012
2024-02-29,0.366662
2024-03-31,1.440658
2024-04-30,0.267741
2024-05-31,0.64951
2024-06-30,1.476967
2024-07-31,0.451961
2024-08-31,1.088989
2024-09-30,1.323978
2024-10-31,0.942471
2024-11-30,1.443368
2024-12-31,1.55383
2025-01-31,0.006404
2025-02-28,0.718142
2025-03-31,0.99855
2025-04-30,0.722029
2025-05-31,0.639181
2025-06-30,0.560672
2025-07-31,0.440744
2025-08-31,0.612293
2025-09-30,1.155358
2025-10-31,1.038729
2025-11-30,1.146567
2025-12-31,1.90144
2026-01-31,-0.083179
2026-02-28,0.371461
2026-03-31,1.12824
2026-04-30,0.288267
2026-05-31,0.565068
