data,valor
2020-01-31,488810441.0
2020-02-29,385341945.0
2020-03-31,521172140.0
2020-04-30,448281369.0
2020-05-31,544086967.0
2020-06-30,529588108.0
2020-07-31,441115081.0
2020-08-31,394172942.0
2020-09-30,425670648.0
2020-10-31,511010404.0
2020-11-30,510905313.0
2020-12-31,370930142.0
2021-01-31,358712997.0
2021-02-28,345884223.0
2021-03-31,497981382.0
2021-04-30,582180207.0
2021-05-31,590006366.0
2021-06-30,530549060.0
2021-07-31,565366525.0
2021-08-31,568215715.0
2021-09-30,467653777.0
2021-10-31,524286561.0
2021-11-30,567471485.0
2021-12-31,630631087.0
2022-01-31,568064110.0
2022-02-28,406331441.0
2022-03-31,604886532.0
2022-04-30,687128133.0
2022-05-31,701254541.0
2022-06-30,585012584.0
2022-07-31,618719572.0
2022-08-31,635624281.0
2022-09-30,803184314.0
2022-10-31,761143107.0
2022-11-30,687767960.0
2022-12-31,618594435.0
2023-01-31,688061359.0
2023-02-28,607970626.0
2023-03-31,685851036.0
2023-04-30,583053021.0
2023-05-31,561127296.0
2023-06-30,544595038.0
2023-07-31,620829091.0
2023-08-31,466697796.0
2023-09-30,546424552.0
2023-10-31,464210775.0
2023-11-30,600124174.0
2023-12-31,624530148.0
2024-01-31,642728913.0
2024-02-29,662936818.0
2024-03-31,698511825.0
2024-04-30,764541809.0
2024-05-31,808205759.0
2024-06-30,895500470.0
2024-07-31,963275240.0
2024-08-31,678927401.0
2024-09-30,906176532.0
2024-10-31,902953163.0
2024-11-30,786690024.0
2024-12-31,841411807.0
2025-01-31,934768361.0
2025-02-28,642707950.0
2025-03-31,884792643.0
2025-04-30,627312104.0
2025-05-31,856786322.0
2025-06-30,769046062.0
2025-07-31,736333935.0
2025-08-31,627417462.0
2025-09-30,664572734.0
2025-10-31,709937954.0
2025-11-30,735187352.0
2025-12-31,750255632.0
2026-01-31,800477867.0
2026-02-28,730034161.0
2026-03-31,687560581.0
2026-04-30,676242194.0
2026-05-31,684348809.0
2026-06-30,818149165.0
2026-07-31,904164745.0
2026-08-31,748163251.0
