data,valor
2020-01-31,1351894846.0
2020-02-29,1021432630.0
2020-03-31,1285635485.0
2020-04-30,1145319247.0
2020-05-31,1434443890.0
2020-06-30,1462371507.0
2020-07-31,1368889448.0
2020-08-31,1204736967.0
2020-09-30,1101417646.0
2020-10-31,1379168149.0
2020-11-30,1409841387.0
2020-12-31,1232039006.0
2021-01-31,1162700364.0
2021-02-28,1073200173.0
2021-03-31,1383705661.0
2021-04-30,1395019189.0
2021-05-31,1376651524.0
2021-06-30,1269455234.0
2021-07-31,1361174587.0
2021-08-31,1270773899.0
2021-09-30,1047888467.0
2021-10-31,1176225962.0
2021-11-30,1364144631.0
2021-12-31,1587213434.0
2022-01-31,1546601625.0
2022-02-28,1086713427.0
2022-03-31,1504284274.0
2022-04-30,1646497676.0
2022-05-31,1697429779.0
2022-06-30,1386434856.0
2022-07-31,1608186678.0
2022-08-31,1503195410.0
2022-09-30,1985616720.0
2022-10-31,1862279368.0
2022-11-30,1606139616.0
2022-12-31,1462775094.0
2023-01-31,1625233590.0
2023-02-28,1431510377.0
2023-03-31,1611164553.0
2023-04-30,1469686099.0
2023-05-31,1465197743.0
2023-06-30,1414748605.0
2023-07-31,1677559695.0
2023-08-31,1259558770.0
2023-09-30,1528359186.0
2023-10-31,1259456492.0
2023-11-30,1444520713.0
2023-12-31,1637955787.0
2024-01-31,1590420556.0
2024-02-29,1524228818.0
2024-03-31,1520355445.0
2024-04-30,1603436471.0
2024-05-31,1528740683.0
2024-06-30,1574028160.0
2024-07-31,1607286637.0
2024-08-31,1107684190.0
2024-09-30,1495947091.0
2024-10-31,1665833512.0
2024-11-30,1513919492.0
2024-12-31,1590221431.0
2025-01-31,1947680684.0
2025-02-28,1416849957.0
2025-03-31,1927058071.0
2025-04-30,1336699893.0
2025-05-31,1930016645.0
2025-06-30,1802366031.0
2025-07-31,1791636588.0
2025-08-31,1575646693.0
2025-09-30,1718774672.0
2025-10-31,1682742406.0
2025-11-30,1620558177.0
2025-12-31,1662244059.0
2026-01-31,1704088618.0
2026-02-28,1561280934.0
2026-03-31,1464857437.0
2026-04-30,1441275578.0
2026-05-31,1440148007.0
2026-06-30,1661442904.0
2026-07-31,1733908493.0
2026-08-31,1412673002.0
