data,valor
1997-01-31,6269630897.0
1997-02-28,7461582548.0
1997-03-31,8613006171.0
1997-04-30,10214262049.0
1997-05-31,9444227862.0
1997-06-30,10112427863.0
1997-07-31,11087376527.0
1997-08-31,10504760219.0
1997-09-30,10080158929.0
1997-10-31,10499530889.0
1997-11-30,9305192249.0
1997-12-31,9893301388.0
1998-01-31,8619890608.0
1998-02-28,7732583598.0
1998-03-31,9516615306.0
1998-04-30,9278836038.0
1998-05-31,9422503303.0
1998-06-30,9658729341.0
1998-07-31,10445973424.0
1998-08-31,8211413733.0
1998-09-30,10337860374.0
1998-10-31,9541362423.0
1998-11-30,8510676868.0
1998-12-31,8473019441.0
1999-01-31,6693879237.0
1999-02-28,6499890547.0
1999-03-31,7960429322.0
1999-04-30,7459251694.0
1999-05-31,8554315030.0
1999-06-30,8849996530.0
1999-07-31,8227315248.0
1999-08-31,8815421981.0
1999-09-30,8498420890.0
1999-10-31,8838445944.0
1999-11-30,8614263412.0
1999-12-31,9193819831.0
2000-01-31,7101344630.0
2000-02-29,8253862180.0
2000-03-31,9002770152.0
2000-04-30,8248505885.0
2000-05-31,9836670122.0
2000-06-30,9531811331.0
2000-07-31,9960721969.0
2000-08-31,11018381650.0
2000-09-30,9849305572.0
2000-10-31,9962053959.0
2000-11-30,9608363498.0
2000-12-31,9595718870.0
2001-01-31,9616915249.0
2001-02-28,8149587818.0
2001-03-31,10684397063.0
2001-04-30,9407450173.0
2001-05-31,10598776706.0
2001-06-30,9876143393.0
2001-07-31,9895892884.0
2001-08-31,10895967520.0
2001-09-30,8984404036.0
2001-10-31,9781624529.0
2001-11-30,8787063406.0
2001-12-31,7923091648.0
2002-01-31,7838460646.0
2002-02-28,7136249551.0
2002-03-31,8000870708.0
2002-04-30,8837912958.0
2002-05-31,8578345659.0
2002-06-30,7552940078.0
2002-07-31,11308090521.0
2002-08-31,9996663809.0
2002-09-30,10566174187.0
2002-10-31,10826346833.0
2002-11-30,9038753201.0
2002-12-31,8741113505.0
2003-01-31,8520267582.0
2003-02-28,8954771024.0
2003-03-31,8996825602.0
2003-04-30,9763186303.0
2003-05-31,10309507269.0
2003-06-30,9455203393.0
2003-07-31,10210144802.0
2003-08-31,10198319117.0
2003-09-30,11957534497.0
2003-10-31,12640598611.0
2003-11-30,10266524722.0
2003-12-31,10811026920.0
2004-01-31,10079084179.0
2004-02-29,9549385850.0
2004-03-31,13329973851.0
2004-04-30,11295143516.0
2004-05-31,12839656371.0
2004-06-30,14921309047.0
2004-07-31,14576293953.0
2004-08-31,14747933648.0
2004-09-30,14744959047.0
2004-10-31,14109784422.0
2004-11-30,14306832021.0
2004-12-31,14434953132.0
2005-01-31,12830348148.0
2005-02-28,12849713450.0
2005-03-31,15256704943.0
2005-04-30,14670988736.0
2005-05-31,16312585264.0
2005-06-30,16477399581.0
2005-07-31,17232031273.0
2005-08-31,19129674440.0
2005-09-30,17059789854.0
2005-10-31,16256516931.0
2005-11-30,17647814520.0
2005-12-31,17566483821.0
2006-01-31,15834441016.0
2006-02-28,14829596933.0
2006-03-31,19194357850.0
2006-04-30,16668027232.0
2006-05-31,17660998253.0
2006-06-30,18906100693.0
2006-07-31,21723096024.0
2006-08-31,22858685729.0
2006-09-30,20763847155.0
2006-10-31,21486261982.0
2006-11-30,20635656202.0
2006-12-31,19551179010.0
2007-01-31,19529827012.0
2007-02-28,17448158582.0
2007-03-31,22486842814.0
2007-04-30,20815643830.0
2007-05-31,23532029025.0
2007-06-30,22505165669.0
2007-07-31,24983447770.0
2007-08-31,26777162418.0
2007-09-30,24426184777.0
2007-10-31,28225917806.0
2007-11-30,26177158521.0
2007-12-31,24950794729.0
2008-01-31,25722023979.0
2008-02-29,24863861337.0
2008-03-31,24338584589.0
2008-04-30,26516428829.0
2008-05-31,34618695981.0
2008-06-30,34589491111.0
2008-07-31,37680860290.0
2008-08-31,37275314882.0
2008-09-30,36494506775.0
2008-10-31,35753076590.0
2008-11-30,27294349381.0
2008-12-31,25324518059.0
2009-01-31,20102445374.0
2009-02-28,17447552985.0
2009-03-31,21799015743.0
2009-04-30,20985338141.0
2009-05-31,21421702889.0
2009-06-30,24354098164.0
2009-07-31,25431386867.0
2009-08-31,24726175735.0
2009-09-30,26499892687.0
2009-10-31,26925862070.0
2009-11-30,24680496103.0
2009-12-31,26815318951.0
2010-01-31,22781218812.0
2010-02-28,24002761868.0
2010-03-31,30819099648.0
2010-04-30,29081942807.0
2010-05-31,32006346032.0
2010-06-30,31972823096.0
2010-07-31,34020310988.0
2010-08-31,36046825586.0
2010-09-30,36618101379.0
2010-10-31,34821590352.0
2010-11-30,35097012520.0
2010-12-31,36503066584.0
2011-01-31,29993680684.0
2011-02-28,32310035651.0
2011-03-31,37044856831.0
2011-04-30,38541872961.0
2011-05-31,42883626607.0
2011-06-30,41916986596.0
2011-07-31,41452134541.0
2011-08-31,48482103093.0
2011-09-30,43547628183.0
2011-10-31,41975071203.0
2011-11-30,43011745241.0
2011-12-31,40476324617.0
2012-01-31,33538584335.0
2012-02-29,34402645761.0
2012-03-31,39773132712.0
2012-04-30,38311356453.0
2012-05-31,43563143430.0
2012-06-30,37890906089.0
