data,valor
2020-01-31,14429715267.0
2020-02-29,15356449520.0
2020-03-31,18312350349.0
2020-04-30,17593798650.0
2020-05-31,17519841090.0
2020-06-30,17478971342.0
2020-07-31,19416007176.0
2020-08-31,17403775488.0
2020-09-30,18223387712.0
2020-10-31,17649335596.0
2020-11-30,17344900538.0
2020-12-31,18451708927.0
2021-01-31,14947626003.0
2021-02-28,16375290870.0
2021-03-31,24335759852.0
2021-04-30,26059431856.0
2021-05-31,26200662606.0
2021-06-30,28257895138.0
2021-07-31,25508595503.0
2021-08-31,27216375900.0
2021-09-30,24376129510.0
2021-10-31,22602637234.0
2021-11-30,20501766210.0
2021-12-31,24432406778.0
2022-01-31,19779928894.0
2022-02-28,23513305117.0
2022-03-31,29422320196.0
2022-04-30,28969694687.0
2022-05-31,29642851197.0
2022-06-30,32742194543.0
2022-07-31,29844324640.0
2022-08-31,30786908834.0
2022-09-30,28587334142.0
2022-10-31,26852476461.0
2022-11-30,27652303451.0
2022-12-31,26342396058.0
2023-01-31,22796014477.0
2023-02-28,20241628657.0
2023-03-31,32822911866.0
2023-04-30,27100302410.0
2023-05-31,32666140787.0
2023-06-30,29600309149.0
2023-07-31,28300073730.0
2023-08-31,31101089774.0
2023-09-30,28713085056.0
2023-10-31,29681867318.0
2023-11-30,27886116219.0
2023-12-31,28786226565.0
2024-01-31,26702655353.0
2024-02-29,23348254025.0
2024-03-31,27657419417.0
2024-04-30,30327524963.0
2024-05-31,30190264650.0
2024-06-30,28731639979.0
2024-07-31,30841394890.0
2024-08-31,28736329972.0
2024-09-30,28471402288.0
2024-10-31,29300866189.0
2024-11-30,27857365197.0
2024-12-31,24881044787.0
2025-01-31,25398231759.0
2025-02-28,22753954039.0
2025-03-31,28725872006.0
2025-04-30,29886134851.0
2025-05-31,29920080781.0
2025-06-30,29036249482.0
2025-07-31,32128634276.0
2025-08-31,29558633290.0
2025-09-30,30486762259.0
2025-10-31,31508863381.0
2025-11-30,28164831149.0
2025-12-31,30710215227.0
2026-01-31,24576605744.0
2026-02-28,26276065434.0
2026-03-31,31767869262.0
2026-04-30,34303112660.0
2026-05-31,31557335963.0
2026-06-30,35492956607.0
2026-07-31,33723397019.0
2026-08-31,33157804370.0
