data,valor
2020-01-31,46718273016.0
2020-02-29,43930739973.0
2020-03-31,53436544555.0
2020-04-30,57512762338.0
2020-05-31,58376191041.0
2020-06-30,63843390897.0
2020-07-31,71482917960.0
2020-08-31,62959138217.0
2020-09-30,67381151109.0
2020-10-31,57991649032.0
2020-11-30,54752961279.0
2020-12-31,59060879256.0
2021-01-31,48543257939.0
2021-02-28,43511501931.0
2021-03-31,61521166691.0
2021-04-30,62544376858.0
2021-05-31,61415668511.0
2021-06-30,67695860040.0
2021-07-31,61324424851.0
2021-08-31,66041443527.0
2021-09-30,60106739045.0
2021-10-31,55724937094.0
2021-11-30,51030639756.0
2021-12-31,60927149553.0
2022-01-31,48281053441.0
2022-02-28,45888250205.0
2022-03-31,60934551466.0
2022-04-30,55211251934.0
2022-05-31,55760649350.0
2022-06-30,64311278752.0
2022-07-31,63821784534.0
2022-08-31,92198087959.0
2022-09-30,68782856185.0
2022-10-31,59650600391.0
2022-11-30,62853799673.0
2022-12-31,62953853414.0
2023-01-31,52369714491.0
2023-02-28,45431198276.0
2023-03-31,68600056223.0
2023-04-30,57234291892.0
2023-05-31,75295574509.0
2023-06-30,70157851618.0
2023-07-31,69054203646.0
2023-08-31,79742258398.0
2023-09-30,73545063439.0
2023-10-31,70574329374.0
2023-11-30,66872138571.0
2023-12-31,73099540631.0
2024-01-31,63927680499.0
2024-02-29,56494095981.0
2024-03-31,62797558497.0
2024-04-30,69169625053.0
2024-05-31,70483611654.0
2024-06-30,70342372003.0
2024-07-31,78899001110.0
2024-08-31,71671761965.0
2024-09-30,71989578439.0
2024-10-31,71406054242.0
2024-11-30,65254758752.0
2024-12-31,57398489910.0
2025-01-31,60584476836.0
2025-02-28,51624629314.0
2025-03-31,65011929332.0
2025-04-30,69341819195.0
2025-05-31,74335768570.0
2025-06-30,74015443872.0
2025-07-31,81820666079.0
2025-08-31,81355786963.0
2025-09-30,75759474757.0
2025-10-31,80689691197.0
2025-11-30,68137471881.0
2025-12-31,77150503445.0
2026-01-31,59812186143.0
2026-02-28,61246580653.0
2026-03-31,69086532981.0
2026-04-30,75020929456.0
2026-05-31,63575354725.0
2026-06-30,82860091366.0
2026-07-31,77871209960.0
2026-08-31,77119199389.0
