data,valor
1997-01-31,2749818353.0
1997-02-28,4598169451.0
1997-03-31,5087391312.0
1997-04-30,5928444969.0
1997-05-31,5086988763.0
1997-06-30,5580392152.0
1997-07-31,6188064205.0
1997-08-31,5752271809.0
1997-09-30,5820938639.0
1997-10-31,6060698815.0
1997-11-30,5647284539.0
1997-12-31,5665224152.0
1998-01-31,4989956039.0
1998-02-28,4253402450.0
1998-03-31,5556591058.0
1998-04-30,4984050353.0
1998-05-31,5091974757.0
1998-06-30,5056908642.0
1998-07-31,5803529625.0
1998-08-31,4472191846.0
1998-09-30,6145377893.0
1998-10-31,5849808842.0
1998-11-30,5086407135.0
1998-12-31,4779082551.0
1999-01-31,3956143153.0
1999-02-28,3412759688.0
1999-03-31,4362541999.0
1999-04-30,3946306072.0
1999-05-31,4388028973.0
1999-06-30,4775085918.0
1999-07-31,4332322684.0
1999-08-31,4783983479.0
1999-09-30,4551381643.0
1999-10-31,4775937213.0
1999-11-30,4852487496.0
1999-12-31,4755836838.0
2000-01-31,3842088919.0
2000-02-29,4349652007.0
2000-03-31,4773127706.0
2000-04-30,4284216879.0
2000-05-31,5030383119.0
2000-06-30,4929935325.0
2000-07-31,5222438863.0
2000-08-31,5801409698.0
2000-09-30,5422862495.0
2000-10-31,5632484621.0
2000-11-30,5531855716.0
2000-12-31,5225283578.0
2001-01-31,5375096810.0
2001-02-28,4324090786.0
2001-03-31,5858311556.0
2001-04-30,4949837345.0
2001-05-31,5543416156.0
2001-06-30,5100494795.0
2001-07-31,5203749513.0
2001-08-31,5447035112.0
2001-09-30,4470484758.0
2001-10-31,5095842436.0
2001-11-30,4532847257.0
2001-12-31,3783262519.0
2002-01-31,4095618462.0
2002-02-28,3671913915.0
2002-03-31,3954477368.0
2002-04-30,4456124275.0
2002-05-31,4361446092.0
2002-06-30,3669786795.0
2002-07-31,5365099522.0
2002-08-31,4467486112.0
2002-09-30,4303284832.0
2002-10-31,4592670282.0
2002-11-30,4141355145.0
2002-12-31,3705923579.0
2003-01-31,3925808332.0
2003-02-28,4169169820.0
2003-03-31,3979509066.0
2003-04-30,4297094653.0
2003-05-31,4160333527.0
2003-06-30,3799552226.0
2003-07-31,4345196851.0
2003-08-31,4006073276.0
2003-09-30,4953778296.0
2003-10-31,5365199672.0
2003-11-30,4568409690.0
2003-12-31,4309699077.0
2004-01-31,4523452183.0
2004-02-29,4045131468.0
2004-03-31,5728995841.0
2004-04-30,4957989902.0
2004-05-31,5187396461.0
2004-06-30,5952552558.0
2004-07-31,5945359619.0
2004-08-31,6040733035.0
2004-09-30,6189992217.0
2004-10-31,6272556613.0
2004-11-30,6522338878.0
2004-12-31,6105118110.0
2005-01-31,5653713008.0
2005-02-28,5375739096.0
2005-03-31,6338671653.0
2005-04-30,5737995258.0
2005-05-31,6803362400.0
2005-06-30,6610143610.0
2005-07-31,6484918144.0
2005-08-31,8167138689.0
2005-09-30,6738300385.0
2005-10-31,6642862263.0
2005-11-30,7157762657.0
2005-12-31,7003586931.0
2006-01-31,6889296528.0
2006-02-28,6382023542.0
2006-03-31,8195968477.0
2006-04-30,7177132781.0
2006-05-31,7725787166.0
2006-06-30,7815955663.0
2006-07-31,8481944666.0
2006-08-31,9648465574.0
2006-09-30,8605497886.0
2006-10-31,9259894747.0
2006-11-30,9183297751.0
2006-12-31,7683461484.0
2007-01-31,8979959248.0
2007-02-28,7710101987.0
2007-03-31,10111301509.0
2007-04-30,8790021142.0
2007-05-31,10400329617.0
2007-06-30,9889879153.0
2007-07-31,11415307048.0
2007-08-31,12264846655.0
2007-09-30,11346363287.0
2007-10-31,13123531669.0
2007-11-30,12796934250.0
2007-12-31,11282047026.0
2008-01-31,13188753827.0
2008-02-29,12787001316.0
2008-03-31,12349479187.0
2008-04-30,13106096254.0
2008-05-31,16117069115.0
2008-06-30,16812271240.0
2008-07-31,18190929922.0
2008-08-31,18548554644.0
2008-09-30,18358573545.0
2008-10-31,18261021625.0
2008-11-30,13966626143.0
2008-12-31,12234305331.0
2009-01-31,10989834380.0
2009-02-28,8342053077.0
2009-03-31,10690719159.0
2009-04-30,9172953547.0
2009-05-31,9925013540.0
2009-06-30,10433421764.0
2009-07-31,11863253414.0
2009-08-31,11407868005.0
2009-09-30,13239447948.0
2009-10-31,13496827059.0
2009-11-30,12782544716.0
2009-12-31,13033666484.0
2010-01-31,12228677154.0
2010-02-28,12559905567.0
2010-03-31,15958245695.0
2010-04-30,14751982067.0
2010-05-31,15166176653.0
2010-06-30,15768688462.0
2010-07-31,17364862976.0
2010-08-31,17892943667.0
2010-09-30,18849092113.0
2010-10-31,17594929996.0
2010-11-30,18475095229.0
2010-12-31,16573666011.0
2011-01-31,15759194897.0
2011-02-28,16484201855.0
2011-03-31,18735892249.0
2011-04-30,19312283691.0
2011-05-31,20762854740.0
2011-06-30,20287034309.0
2011-07-31,20147745860.0
2011-08-31,23422520878.0
2011-09-30,21297579028.0
2011-10-31,20803927023.0
2011-11-30,22335598673.0
2011-12-31,19357299172.0
2012-01-31,18388892128.0
2012-02-29,17214313808.0
2012-03-31,19881002210.0
2012-04-30,19643658379.0
2012-05-31,21337282461.0
2012-06-30,19531731411.0
2012-07-31,19137266537.0
2012-08-31,20226844215.0
2012-09-30,18450984236.0
2012-10-31,21356524331.0
2012-11-30,21749696741.0
2012-12-31,18486282626.0
2013-01-31,21060416041.0
2013-02-28,17794871150.0
2013-03-31,20171122936.0
2013-04-30,22777128319.0
2013-05-31,22164845089.0
2013-06-30,19841106882.0
2013-07-31,23827776974.0
2013-08-31,21276430502.0
2013-09-30,19879738001.0
2013-10-31,24181280762.0
2013-11-30,20150673508.0
2013-12-31,19156314359.0
2014-01-31,21153645078.0
2014-02-28,19021269278.0
2014-03-31,18446111843.0
2014-04-30,20228059387.0
2014-05-31,21124016634.0
2014-06-30,18984147994.0
2014-07-31,22503862170.0
2014-08-31,20238271324.0
2014-09-30,21548935493.0
2014-10-31,20482035215.0
2014-11-30,18989402278.0
2014-12-31,18043615288.0
2015-01-31,17750965227.0
2015-02-28,15738826636.0
2015-03-31,17402138747.0
2015-04-30,15453413110.0
2015-05-31,14775674634.0
2015-06-30,15883851874.0
2015-07-31,16905155541.0
2015-08-31,13450636013.0
2015-09-30,13893633222.0
2015-10-31,14769259476.0
2015-11-30,13305066185.0
2015-12-31,11131715465.0
2016-01-31,10856214633.0
2016-02-29,10902553088.0
2016-03-31,12206106664.0
2016-04-30,11122086042.0
2016-05-31,11749838442.0
2016-06-30,13480406459.0
2016-07-31,12399959575.0
2016-08-31,13561453779.0
2016-09-30,12677146302.0
2016-10-31,12015280925.0
2016-11-30,12099129628.0
2016-12-31,12177699269.0
2017-01-31,12869070306.0
2017-02-28,11532274704.0
2017-03-31,14162349733.0
2017-04-30,11935174433.0
2017-05-31,13507211128.0
2017-06-30,13988558221.0
2017-07-31,13849943694.0
2017-08-31,15448741868.0
2017-09-30,14874427759.0
2017-10-31,15220278498.0
2017-11-30,14545466402.0
2017-12-31,13921735383.0
2018-01-31,15772020968.0
2018-02-28,13849383486.0
2018-03-31,15296260684.0
2018-04-30,15288846396.0
2018-05-31,14626385427.0
2018-06-30,15600156470.0
2018-07-31,18439012029.0
2018-08-31,20456556439.0
2018-09-30,15552054649.0
2018-10-31,17584447259.0
2018-11-30,16160615443.0
2018-12-31,14214474830.0
2019-01-31,18068183149.0
2019-02-28,14123136744.0
2019-03-31,14622663982.0
2019-04-30,15239085267.0
2019-05-31,16747419317.0
2019-06-30,14467895735.0
2019-07-31,18676015071.0
2019-08-31,18289013618.0
2019-09-30,15965591037.0
2019-10-31,17662698232.0
2019-11-30,15468446265.0
2019-12-31,13831855621.0
2020-01-31,17842724736.0
2020-02-29,14434273449.0
2020-03-31,14921821007.0
2020-04-30,12048120031.0
2020-05-31,11277635376.0
2020-06-30,11538884962.0
2020-07-31,12329528109.0
2020-08-31,12077015775.0
2020-09-30,13700506938.0
2020-10-31,13879521491.0
2020-11-30,15689726181.0
2020-12-31,16596457398.0
2021-01-31,16040106005.0
2021-02-28,15524210890.0
2021-03-31,19128875134.0
2021-04-30,17136785073.0
2021-05-31,18811239311.0
2021-06-30,18969693075.0
2021-07-31,19293137826.0
2021-08-31,20888585801.0
2021-09-30,21432482334.0
2021-10-31,22068141366.0
2021-11-30,23301382281.0
2021-12-31,22095806139.0
2022-01-31,21462585211.0
2022-02-28,20419094328.0
2022-03-31,23492825916.0
2022-04-30,22177663873.0
2022-05-31,26328029903.0
2022-06-30,25449917257.0
2022-07-31,26141210184.0
2022-08-31,28571137836.0
2022-09-30,26721146794.0
2022-10-31,25210882730.0
2022-11-30,22985494728.0
2022-12-31,23284559397.0
2023-01-31,21748636546.0
2023-02-28,18634964723.0
2023-03-31,23179681942.0
2023-04-30,20107121639.0
2023-05-31,22767358026.0
2023-06-30,20455383850.0
2023-07-31,21053052967.0
2023-08-31,22439394562.0
2023-09-30,20441204766.0
2023-10-31,21431143728.0
2023-11-30,19999619817.0
2023-12-31,20452897574.0
2024-01-31,21547872126.0
2024-02-29,19114733823.0
2024-03-31,21495520722.0
2024-04-30,22979305733.0
2024-05-31,22980758432.0
2024-06-30,23614174503.0
2024-07-31,24631610572.0
2024-08-31,25743997254.0
2024-09-30,24918269544.0
2024-10-31,26863041835.0
2024-11-30,22503312132.0
2024-12-31,21561486621.0
2025-01-31,24432393290.0
2025-02-28,24344161032.0
2025-03-31,22063538286.0
2025-04-30,23331129682.0
2025-05-31,23920597147.0
2025-06-30,24174744340.0
2025-07-31,26215834146.0
2025-08-31,24737545763.0
2025-09-30,28611271730.0
2025-10-31,26015846581.0
2025-11-30,23414890768.0
2025-12-31,22434495718.0
2026-01-31,21798118603.0
2026-02-28,23125218423.0
2026-03-31,26435269841.0
2026-04-30,24767217155.0
2026-05-31,25371585804.0
2026-06-30,27840717215.0
2026-07-31,28655667843.0
2026-08-31,27331288667.0
