data,valor
2020-01-31,17190165488.0
2020-02-29,13849450579.0
2020-03-31,14266744622.0
2020-04-30,11431019725.0
2020-05-31,10681945943.0
2020-06-30,10977106324.0
2020-07-31,11814764185.0
2020-08-31,11585200604.0
2020-09-30,13139951686.0
2020-10-31,13245304357.0
2020-11-30,14856582072.0
2020-12-31,15748589294.0
2021-01-31,15167392393.0
2021-02-28,14539172569.0
2021-03-31,17865278864.0
2021-04-30,16096324095.0
2021-05-31,17664681736.0
2021-06-30,17843605079.0
2021-07-31,18128645229.0
2021-08-31,19557276638.0
2021-09-30,19975447581.0
2021-10-31,20538918428.0
2021-11-30,21611840519.0
2021-12-31,20419466049.0
2022-01-31,19839036895.0
2022-02-28,18884032639.0
2022-03-31,21809139241.0
2022-04-30,20742942801.0
2022-05-31,24685194348.0
2022-06-30,23852259120.0
2022-07-31,24487010025.0
2022-08-31,26680226835.0
2022-09-30,24892711361.0
2022-10-31,23477105126.0
2022-11-30,21451985909.0
2022-12-31,21809042646.0
2023-01-31,20511168894.0
2023-02-28,17669835440.0
2023-03-31,22071631023.0
2023-04-30,19145984913.0
2023-05-31,21688303202.0
2023-06-30,19523548217.0
2023-07-31,20121012529.0
2023-08-31,21468484469.0
2023-09-30,19531513320.0
2023-10-31,20500945877.0
2023-11-30,19097348843.0
2023-12-31,19463062497.0
2024-01-31,20506556064.0
2024-02-29,18217925231.0
2024-03-31,20490209586.0
2024-04-30,21896365060.0
2024-05-31,21888476596.0
2024-06-30,22403501244.0
2024-07-31,23289908259.0
2024-08-31,24219210009.0
2024-09-30,23391814867.0
2024-10-31,25209647872.0
2024-11-30,21110834322.0
2024-12-31,20245157064.0
2025-01-31,23060919404.0
2025-02-28,23220906048.0
2025-03-31,20989949681.0
2025-04-30,22222203309.0
2025-05-31,22860326366.0
2025-06-30,23179685930.0
2025-07-31,25131360879.0
2025-08-31,23583998523.0
2025-09-30,27345568599.0
2025-10-31,24823891174.0
2025-11-30,22404274885.0
2025-12-31,21385349027.0
2026-01-31,20831691725.0
2026-02-28,22215553623.0
2026-03-31,25308911941.0
2026-04-30,23647082379.0
2026-05-31,24118232383.0
2026-06-30,26493857835.0
2026-07-31,27158319765.0
2026-08-31,25763862100.0
