data,valor
2020-01-31,12206525099.0
2020-02-29,10987648835.0
2020-03-31,12846278776.0
2020-04-30,12322663734.0
2020-05-31,11227644734.0
2020-06-30,11222057649.0
2020-07-31,10926569247.0
2020-08-31,10927114628.0
2020-09-30,12310892647.0
2020-10-31,12447483366.0
2020-11-30,13818142424.0
2020-12-31,12736846905.0
2021-01-31,13368077835.0
2021-02-28,13605387973.0
2021-03-31,14890217804.0
2021-04-30,13657901095.0
2021-05-31,14533347651.0
2021-06-30,14985140683.0
2021-07-31,14851657336.0
2021-08-31,16445839307.0
2021-09-30,15566378468.0
2021-10-31,16101983772.0
2021-11-30,16710687536.0
2021-12-31,13694107080.0
2022-01-31,13967568680.0
2022-02-28,12462239195.0
2022-03-31,13475208427.0
2022-04-30,13563809450.0
2022-05-31,16018374427.0
2022-06-30,15593453730.0
2022-07-31,16170536729.0
2022-08-31,15482883703.0
2022-09-30,14890498962.0
2022-10-31,13936769136.0
2022-11-30,12473038085.0
2022-12-31,15450491904.0
2023-01-31,13215465869.0
2023-02-28,11878077346.0
2023-03-31,14277808043.0
2023-04-30,13202287800.0
2023-05-31,15461491701.0
2023-06-30,13612886762.0
2023-07-31,15160708508.0
2023-08-31,15078065196.0
2023-09-30,14189698881.0
2023-10-31,15766463381.0
2023-11-30,13477320531.0
2023-12-31,14032438972.0
2024-01-31,14271017741.0
2024-02-29,11934058507.0
2024-03-31,14131530601.0
2024-04-30,14996217579.0
2024-05-31,15314763004.0
2024-06-30,15987102494.0
2024-07-31,16852324457.0
2024-08-31,17627190679.0
2024-09-30,17357163569.0
2024-10-31,18626111446.0
2024-11-30,14525738297.0
2024-12-31,13501243766.0
2025-01-31,15528918531.0
2025-02-28,12973124624.0
2025-03-31,13552151392.0
2025-04-30,15468363520.0
2025-05-31,15344449184.0
2025-06-30,15016038003.0
2025-07-31,17140340187.0
2025-08-31,16785444660.0
2025-09-30,17057560731.0
2025-10-31,17463010828.0
2025-11-30,14442750743.0
2025-12-31,16102323647.0
2026-01-31,14315306356.0
2026-02-28,13059952654.0
2026-03-31,15883329662.0
2026-04-30,14068303977.0
2026-05-31,14126830781.0
2026-06-30,14024278044.0
2026-07-31,16655220670.0
2026-08-31,14073182023.0
