data,valor
2020-01-31,9788257.0
2020-02-29,5614443.0
2020-03-31,6883075.0
2020-04-30,4669960.0
2020-05-31,6884464.0
2020-06-30,6930231.0
2020-07-31,5520849.0
2020-08-31,5702609.0
2020-09-30,8003395.0
2020-10-31,7528080.0
2020-11-30,12054491.0
2020-12-31,16182748.0
2021-01-31,13717580.0
2021-02-28,8283373.0
2021-03-31,8600780.0
2021-04-30,10197883.0
2021-05-31,10240086.0
2021-06-30,10407820.0
2021-07-31,13155413.0
2021-08-31,10508258.0
2021-09-30,9654170.0
2021-10-31,13874644.0
2021-11-30,11912263.0
2021-12-31,16900983.0
2022-01-31,12276231.0
2022-02-28,10612326.0
2022-03-31,12635846.0
2022-04-30,14124073.0
2022-05-31,22509589.0
2022-06-30,14340192.0
2022-07-31,16411712.0
2022-08-31,17848541.0
2022-09-30,15079849.0
2022-10-31,16492727.0
2022-11-30,14125369.0
2022-12-31,11386000.0
2023-01-31,10280794.0
2023-02-28,10809809.0
2023-03-31,11814892.0
2023-04-30,6568562.0
2023-05-31,11759530.0
2023-06-30,10140686.0
2023-07-31,8656980.0
2023-08-31,11431143.0
2023-09-30,7642045.0
2023-10-31,10421884.0
2023-11-30,12629638.0
2023-12-31,14050197.0
2024-01-31,13599940.0
2024-02-29,10661188.0
2024-03-31,13406429.0
2024-04-30,14577715.0
2024-05-31,18806159.0
2024-06-30,16870453.0
2024-07-31,14633413.0
2024-08-31,11666265.0
2024-09-30,10313017.0
2024-10-31,14737235.0
2024-11-30,14648244.0
2024-12-31,11294095.0
2025-01-31,13740963.0
2025-02-28,14270428.0
2025-03-31,13029688.0
2025-04-30,10639907.0
2025-05-31,13115903.0
2025-06-30,12874848.0
2025-07-31,11658034.0
2025-08-31,11904008.0
2025-09-30,11275639.0
2025-10-31,11641197.0
2025-11-30,6962161.0
2025-12-31,9985068.0
2026-01-31,8964035.0
2026-02-28,7959462.0
2026-03-31,10449016.0
2026-04-30,6561930.0
2026-05-31,6010061.0
2026-06-30,8385042.0
2026-07-31,11239167.0
2026-08-31,9868969.0
