data,valor
2020-01-31,25418986258.0
2020-02-29,20894090031.0
2020-03-31,19340684881.0
2020-04-30,22735126287.0
2020-05-31,20036571206.0
2020-06-30,29204178265.0
2020-07-31,32321490028.0
2020-08-31,29962074042.0
2020-09-30,36063535603.0
2020-10-31,29656311186.0
2020-11-30,28446017894.0
2020-12-31,31848743082.0
2021-01-31,27921457743.0
2021-02-28,22924577929.0
2021-03-31,26609291348.0
2021-04-30,24150183756.0
2021-05-31,25133091403.0
2021-06-30,31798086867.0
2021-07-31,29786283628.0
2021-08-31,32492717114.0
2021-09-30,32052116688.0
2021-10-31,28964356289.0
2021-11-30,26733456236.0
2021-12-31,29012951808.0
2022-01-31,23671376119.0
2022-02-28,17022605851.0
2022-03-31,27494339501.0
2022-04-30,22873993931.0
2022-05-31,23276628634.0
2022-06-30,30759701981.0
2022-07-31,30030808415.0
2022-08-31,32224776813.0
2022-09-30,33693721704.0
2022-10-31,25606839468.0
2022-11-30,28572412496.0
2022-12-31,29441525100.0
2023-01-31,22898290614.0
2023-02-28,21366842000.0
2023-03-31,24934031750.0
2023-04-30,23101224451.0
2023-05-31,32833443198.0
2023-06-30,32390384226.0
2023-07-31,29447352925.0
2023-08-31,35375759459.0
2023-09-30,33746189514.0
2023-10-31,31216210429.0
2023-11-30,29384850592.0
2023-12-31,36436807786.0
2024-01-31,26908945465.0
2024-02-29,26392787250.0
2024-03-31,24391562643.0
2024-04-30,27122944604.0
2024-05-31,30635798937.0
2024-06-30,31271305144.0
2024-07-31,37057195342.0
2024-08-31,32001256500.0
2024-09-30,34384727029.0
2024-10-31,32700538905.0
2024-11-30,31417130551.0
2024-12-31,28294076273.0
2025-01-31,28829372353.0
2025-02-28,24174651180.0
2025-03-31,25839112753.0
2025-04-30,27992363703.0
2025-05-31,32371450536.0
2025-06-30,34222841109.0
2025-07-31,38659232233.0
2025-08-31,37681542821.0
2025-09-30,34254489391.0
2025-10-31,37996324985.0
2025-11-30,32970050219.0
2025-12-31,37425465360.0
2026-01-31,26379004618.0
2026-02-28,26187389970.0
2026-03-31,25768212538.0
2026-04-30,31609434000.0
2026-05-31,25568797966.0
2026-06-30,39666979151.0
2026-07-31,35002833875.0
2026-08-31,34406447895.0
