data,valor
2020-01-31,1707992437.0
2020-02-29,2316023766.0
2020-03-31,2023525022.0
2020-04-30,1817132846.0
2020-05-31,1386002199.0
2020-06-30,1156303096.0
2020-07-31,1928276214.0
2020-08-31,1496515259.0
2020-09-30,1471324600.0
2020-10-31,1262950881.0
2020-11-30,1459084686.0
2020-12-31,1588726883.0
2021-01-31,1591315839.0
2021-02-28,1877907033.0
2021-03-31,2661483504.0
2021-04-30,2826701536.0
2021-05-31,2230682322.0
2021-06-30,3743887034.0
2021-07-31,2058804985.0
2021-08-31,3204026884.0
2021-09-30,2486562157.0
2021-10-31,2985889023.0
2021-11-30,1934787403.0
2021-12-31,3006933933.0
2022-01-31,2151151388.0
2022-02-28,3938875347.0
2022-03-31,3479507047.0
2022-04-30,3021133133.0
2022-05-31,3097566778.0
2022-06-30,3971869769.0
2022-07-31,3465105228.0
2022-08-31,3928197090.0
2022-09-30,3464156399.0
2022-10-31,2959747613.0
2022-11-30,4569070822.0
2022-12-31,4507383475.0
2023-01-31,3129360527.0
2023-02-28,1194413455.0
2023-03-31,5520902205.0
2023-04-30,2393081486.0
2023-05-31,3519997846.0
2023-06-30,2803459014.0
2023-07-31,3642496319.0
2023-08-31,3885415318.0
2023-09-30,4304909734.0
2023-10-31,4225096578.0
2023-11-30,4442141375.0
2023-12-31,3549804815.0
2024-01-31,4877245796.0
2024-02-29,2712100038.0
2024-03-31,3624326216.0
2024-04-30,4514763346.0
2024-05-31,4850725330.0
2024-06-30,3623190643.0
2024-07-31,3731437490.0
2024-08-31,3587288642.0
2024-09-30,3020437115.0
2024-10-31,3679669622.0
2024-11-30,4515628424.0
2024-12-31,2227065858.0
2025-01-31,4673144797.0
2025-02-28,2121317842.0
2025-03-31,2798659397.0
2025-04-30,4339399173.0
2025-05-31,4209142958.0
2025-06-30,3511445501.0
2025-07-31,4032281669.0
2025-08-31,4091476347.0
2025-09-30,3665346306.0
2025-10-31,3836263644.0
2025-11-30,3475523566.0
2025-12-31,3782156727.0
2026-01-31,4038657819.0
2026-02-28,3772352332.0
2026-03-31,5009496957.0
2026-04-30,5116324272.0
2026-05-31,3632605695.0
2026-06-30,5722117993.0
2026-07-31,4737463030.0
2026-08-31,4828191084.0
