data,valor
2020-01-31,4221906804.0
2020-02-29,5881213247.0
2020-03-31,6381916325.0
2020-04-30,6614554463.0
2020-05-31,8256987023.0
2020-06-30,5448127730.0
2020-07-31,7794507662.0
2020-08-31,5258498082.0
2020-09-30,5025244404.0
2020-10-31,4570639521.0
2020-11-30,5273883777.0
2020-12-31,5282467249.0
2021-01-31,4864085371.0
2021-02-28,4944716597.0
2021-03-31,6425257775.0
2021-04-30,6472785954.0
2021-05-31,5072838532.0
2021-06-30,8133882300.0
2021-07-31,4208806520.0
2021-08-31,6782173860.0
2021-09-30,5274783801.0
2021-10-31,5850041565.0
2021-11-30,3623593276.0
2021-12-31,5911884703.0
2022-01-31,4192439229.0
2022-02-28,6474032605.0
2022-03-31,5335955941.0
2022-04-30,4446937999.0
2022-05-31,4432755982.0
2022-06-30,5672749458.0
2022-07-31,4766829426.0
2022-08-31,5831058879.0
2022-09-30,5724398055.0
2022-10-31,5287793930.0
2022-11-30,8209785026.0
2022-12-31,8345888225.0
2023-01-31,6205619775.0
2023-02-28,2378102827.0
2023-03-31,11003687594.0
2023-04-30,4758449412.0
2023-05-31,7114761992.0
2023-06-30,5714628923.0
2023-07-31,7424093857.0
2023-08-31,7618700613.0
2023-09-30,7685399469.0
2023-10-31,7124455363.0
2023-11-30,7696851019.0
2023-12-31,6684812979.0
2024-01-31,9466511933.0
2024-02-29,5500317553.0
2024-03-31,7775062263.0
2024-04-30,9090236343.0
2024-05-31,8956388422.0
2024-06-30,6897758400.0
2024-07-31,7308992662.0
2024-08-31,6978723511.0
2024-09-30,5911264815.0
2024-10-31,7552530143.0
2024-11-30,8953536571.0
2024-12-31,4779009893.0
2025-01-31,9334147909.0
2025-02-28,4284137947.0
2025-03-31,5761287341.0
2025-04-30,9138245184.0
2025-05-31,9477252839.0
2025-06-30,7946495583.0
2025-07-31,8585407770.0
2025-08-31,8867353561.0
2025-09-30,8219960243.0
2025-10-31,8896641068.0
2025-11-30,8401836624.0
2025-12-31,9280876249.0
2026-01-31,9958455242.0
2026-02-28,9010206653.0
2026-03-31,10115087798.0
2026-04-30,8148992469.0
2026-05-31,5429955351.0
2026-06-30,8453060256.0
2026-07-31,7674971451.0
2026-08-31,8379911835.0
