data,valor
2020-01-31,1627139024.0
2020-02-29,1402300615.0
2020-03-31,1177267022.0
2020-04-30,1498749486.0
2020-05-31,1251054621.0
2020-06-30,1828931669.0
2020-07-31,2240502809.0
2020-08-31,2257839829.0
2020-09-30,2961967165.0
2020-10-31,2640088915.0
2020-11-30,2513873318.0
2020-12-31,2859400131.0
2021-01-31,2655541886.0
2021-02-28,2724525928.0
2021-03-31,3358432173.0
2021-04-30,3122119679.0
2021-05-31,3280014535.0
2021-06-30,4832951609.0
2021-07-31,4585073346.0
2021-08-31,5068313580.0
2021-09-30,3780840140.0
2021-10-31,2889276208.0
2021-11-30,2307677116.0
2021-12-31,2110794271.0
2022-01-31,1751423877.0
2022-02-28,1481876695.0
2022-03-31,2625062838.0
2022-04-30,2121699929.0
2022-05-31,2308213467.0
2022-06-30,2854171413.0
2022-07-31,2517341359.0
2022-08-31,2396880310.0
2022-09-30,2395202955.0
2022-10-31,1690624909.0
2022-11-30,1818750969.0
2022-12-31,1772999053.0
2023-01-31,1609313610.0
2023-02-28,1695071358.0
2023-03-31,2067232668.0
2023-04-30,1947532430.0
2023-05-31,2630357922.0
2023-06-30,2233118968.0
2023-07-31,2137332650.0
2023-08-31,2600640859.0
2023-09-30,2506047272.0
2023-10-31,2455960029.0
2023-11-30,2303712732.0
2023-12-31,3111732726.0
2024-01-31,2474699992.0
2024-02-29,2429861865.0
2024-03-31,2171781027.0
2024-04-30,2071604165.0
2024-05-31,2182853711.0
2024-06-30,2284731647.0
2024-07-31,2613407562.0
2024-08-31,2196923943.0
2024-09-30,2189402037.0
2024-10-31,1980072731.0
2024-11-30,2052355790.0
2024-12-31,1927004279.0
2025-01-31,2003534066.0
2025-02-28,1583409145.0
2025-03-31,1777821380.0
2025-04-30,1837194866.0
2025-05-31,2052204904.0
2025-06-30,2204315031.0
2025-07-31,2385487009.0
2025-08-31,2410314522.0
2025-09-30,2325455580.0
2025-10-31,2694565903.0
2025-11-30,2403150648.0
2025-12-31,2613454215.0
2026-01-31,1843157505.0
2026-02-28,1840522680.0
2026-03-31,1779291584.0
2026-04-30,2137280898.0
2026-05-31,1683117561.0
2026-06-30,2569324747.0
2026-07-31,2131758139.0
2026-08-31,2051566400.0
