data,valor
2020-01-31,831821378.0
2020-02-29,604759726.0
2020-03-31,1178621604.0
2020-04-30,1367252490.0
2020-05-31,1435439971.0
2020-06-30,1360819609.0
2020-07-31,1362670839.0
2020-08-31,1210005104.0
2020-09-30,1319382440.0
2020-10-31,1138810653.0
2020-11-30,1160879913.0
2020-12-31,830792191.0
2021-01-31,820491061.0
2021-02-28,884611098.0
2021-03-31,954041708.0
2021-04-30,1126701823.0
2021-05-31,1335351201.0
2021-06-30,1440783775.0
2021-07-31,1554580176.0
2021-08-31,1154196532.0
2021-09-30,1084877049.0
2021-10-31,1015229417.0
2021-11-30,1066923439.0
2021-12-31,1347874329.0
2022-01-31,1102262067.0
2022-02-28,1173554975.0
2022-03-31,1095702342.0
2022-04-30,1241000356.0
2022-05-31,1466567011.0
2022-06-30,1638284541.0
2022-07-31,1411375140.0
2022-08-31,1273080345.0
2022-09-30,1440856743.0
2022-10-31,1331903423.0
2022-11-30,1086159968.0
2022-12-31,814271567.0
2023-01-31,988494153.0
2023-02-28,1008337941.0
2023-03-31,1399971403.0
2023-04-30,1100952133.0
2023-05-31,2018076856.0
2023-06-30,1448496925.0
2023-07-31,1627925475.0
2023-08-31,1855351705.0
2023-09-30,1160332786.0
2023-10-31,1351879019.0
2023-11-30,1402455668.0
2023-12-31,1487402229.0
2024-01-31,1388271473.0
2024-02-29,1199379214.0
2024-03-31,1377743092.0
2024-04-30,1593213679.0
2024-05-31,1644283449.0
2024-06-30,1479640568.0
2024-07-31,1537346392.0
2024-08-31,1510523183.0
2024-09-30,1288141163.0
2024-10-31,1800580379.0
2024-11-30,1329589878.0
2024-12-31,1508437622.0
2025-01-31,1377674053.0
2025-02-28,1360063481.0
2025-03-31,1387009666.0
2025-04-30,1557072607.0
2025-05-31,1792415203.0
2025-06-30,1396304513.0
2025-07-31,1553243311.0
2025-08-31,1487807715.0
2025-09-30,1650188537.0
2025-10-31,1506815038.0
2025-11-30,1427152427.0
2025-12-31,1596782041.0
2026-01-31,1486068163.0
2026-02-28,1323209217.0
2026-03-31,1492590059.0
2026-04-30,1822814124.0
2026-05-31,2058375168.0
2026-06-30,1980293916.0
2026-07-31,1830589138.0
2026-08-31,1790486389.0
