data,valor
2020-01-31,504774218.0
2020-02-29,1692755740.0
2020-03-31,3742530966.0
2020-04-30,5030997510.0
2020-05-31,4700002060.0
2020-06-30,4295970036.0
2020-07-31,3458453800.0
2020-08-31,2061561399.0
2020-09-30,1555922999.0
2020-10-31,885359451.0
2020-11-30,528627565.0
2020-12-31,103631829.0
2021-01-31,23266515.0
2021-02-28,1036130963.0
2021-03-31,5045797587.0
2021-04-30,6665535574.0
2021-05-31,6707870129.0
2021-06-30,5173933719.0
2021-07-31,3983043384.0
2021-08-31,3140967377.0
2021-09-30,2453625241.0
2021-10-31,1719101382.0
2021-11-30,1320997259.0
2021-12-31,1358653383.0
2022-01-31,1241821063.0
2022-02-28,3135282414.0
2022-03-31,6463667380.0
2022-04-30,6757747812.0
2022-05-31,6614105134.0
2022-06-30,6305691549.0
2022-07-31,4721948602.0
2022-08-31,3730390493.0
2022-09-30,2503466232.0
2022-10-31,2333286180.0
2022-11-30,1548531420.0
2022-12-31,1197321461.0
2023-01-31,500404216.0
2023-02-28,2813209243.0
2023-03-31,7361511405.0
2023-04-30,7749792563.0
2023-05-31,8115565482.0
2023-06-30,6821978754.0
2023-07-31,4736400520.0
2023-08-31,4192139834.0
2023-09-30,3299612228.0
2023-10-31,2931003942.0
2023-11-30,2726857445.0
2023-12-31,1990085159.0
2024-01-31,1454912473.0
2024-02-29,2919570191.0
2024-03-31,5357375423.0
2024-04-30,6286351089.0
2024-05-31,5751859291.0
2024-06-30,6137462366.0
2024-07-31,4962555006.0
2024-08-31,3493147045.0
2024-09-30,2583201362.0
2024-10-31,2023689238.0
2024-11-30,1110330677.0
2024-12-31,861440309.0
2025-01-31,433412725.0
2025-02-28,2543652430.0
2025-03-31,5673615141.0
2025-04-30,5864208310.0
2025-05-31,5501158133.0
2025-06-30,5337449698.0
2025-07-31,5001850667.0
2025-08-31,3868955860.0
2025-09-30,3103031251.0
2025-10-31,2878022046.0
2025-11-30,1827759344.0
2025-12-31,1498479236.0
2026-01-31,821893814.0
2026-02-28,2897179100.0
2026-03-31,5898197640.0
2026-04-30,6962355250.0
2026-05-31,6290576208.0
2026-06-30,6266776914.0
2026-07-31,5869552552.0
2026-08-31,4410039153.0
