data,valor
2021-07-31,117.110001
2021-08-31,114.080002
2021-09-30,106.489998
2021-10-31,99.68
2021-11-30,98.349998
2021-12-31,100.800003
2022-01-31,107.980003
2022-02-28,108.900002
2022-03-31,115.599998
2022-04-30,103.400002
2022-05-31,107.18
2022-06-30,95.0
2022-07-31,99.300003
2022-08-31,105.830002
2022-09-30,106.459999
2022-10-31,112.150002
2022-11-30,108.580002
2022-12-31,105.949997
2023-01-31,109.839996
2023-02-28,101.150002
2023-03-31,98.489998
2023-04-30,100.900002
2023-05-31,104.839996
2023-06-30,114.169998
2023-07-31,117.949997
2023-08-31,112.309998
2023-09-30,113.150002
2023-10-31,109.620003
2023-11-30,123.57
2023-12-31,130.389999
2024-01-31,123.949997
2024-02-29,125.25
2024-03-31,124.330002
2024-04-30,122.379997
2024-05-31,118.660004
2024-06-30,120.379997
2024-07-31,124.040001
2024-08-31,132.600006
2024-09-30,128.429993
2024-10-31,126.260002
2024-11-30,122.32
2024-12-31,117.269997
2025-01-31,123.0
2025-02-28,120.010002
2025-03-31,127.300003
2025-04-30,131.630005
2025-05-31,133.990005
2025-06-30,135.850006
2025-07-31,129.880005
2025-08-31,138.5
2025-09-30,143.240005
2025-10-31,146.410004
2025-11-30,155.850006
2025-12-31,158.0
2026-01-31,178.199997
2026-02-28,185.160004
2026-03-31,184.279999
2026-04-30,184.089996
2026-05-31,170.75
2026-06-30,169.050003
2026-07-31,173.449997
