data,valor
2021-07-31,5.0804
2021-08-31,5.1829
2021-09-30,5.4143
2021-10-31,5.6449
2021-11-30,5.6007
2021-12-31,5.5702
2022-01-31,5.3626
2022-02-28,5.1594
2022-03-31,4.7697
2022-04-30,4.9378
2022-05-31,4.7524
2022-06-30,5.1809
2022-07-31,5.1827
2022-08-31,5.1219
2022-09-30,5.3962
2022-10-31,5.2885
2022-11-30,5.2682
2022-12-31,5.2846
2023-01-31,5.1149
2023-02-28,5.1997
2023-03-31,5.0927
2023-04-30,4.9762
2023-05-31,5.0348
2023-06-30,4.8556
2023-07-31,4.7233
2023-08-31,4.8884
2023-09-30,5.0328
2023-10-31,5.0461
2023-11-30,4.9041
2023-12-31,4.8502
2024-01-31,4.9503
2024-02-29,4.9673
2024-03-31,5.0141
2024-04-30,5.117
2024-05-31,5.2021
2024-06-30,5.5005
2024-07-31,5.6111
2024-08-31,5.6277
2024-09-30,5.4332
2024-10-31,5.7623
2024-11-30,6.0139
2024-12-31,6.1779
2025-01-31,5.8745
2025-02-28,5.839
2025-03-31,5.7581
2025-04-30,5.62
2025-05-31,5.6651
2025-06-30,5.4784
2025-07-31,5.5754
2025-08-31,5.413
2025-09-30,5.3217
2025-10-31,5.382
2025-11-30,5.3554
2025-12-31,5.4762
2026-01-31,5.1892
2026-02-28,5.1366
2026-03-31,5.264
2026-04-30,5.0175
2026-05-31,5.0517
2026-06-30,5.181787
2026-07-31,5.0804
