data,valor
2021-07-31,34935.46875
2021-08-31,35360.730469
2021-09-30,33843.921875
2021-10-31,35819.558594
2021-11-30,34483.71875
2021-12-31,36338.300781
2022-01-31,35131.859375
2022-02-28,33892.601562
2022-03-31,34678.351562
2022-04-30,32977.210938
2022-05-31,32990.121094
2022-06-30,30775.429688
2022-07-31,32845.128906
2022-08-31,31510.429688
2022-09-30,28725.509766
2022-10-31,32732.949219
2022-11-30,34589.769531
2022-12-31,33147.25
2023-01-31,34086.039062
2023-02-28,32656.699219
2023-03-31,33274.148438
2023-04-30,34098.160156
2023-05-31,32908.269531
2023-06-30,34407.601562
2023-07-31,35559.53125
2023-08-31,34721.910156
2023-09-30,33507.5
2023-10-31,33052.871094
2023-11-30,35950.890625
2023-12-31,37689.539062
2024-01-31,38150.300781
2024-02-29,38996.390625
2024-03-31,39807.371094
2024-04-30,37815.921875
2024-05-31,38686.320312
2024-06-30,39118.859375
2024-07-31,40842.789062
2024-08-31,41563.078125
2024-09-30,42330.148438
2024-10-31,41763.460938
2024-11-30,44910.648438
2024-12-31,42544.21875
2025-01-31,44544.660156
2025-02-28,43840.910156
2025-03-31,42001.761719
2025-04-30,40669.359375
2025-05-31,42270.070312
2025-06-30,44094.769531
2025-07-31,44130.980469
2025-08-31,45544.878906
2025-09-30,46397.890625
2025-10-31,47562.871094
2025-11-30,47716.421875
2025-12-31,48063.289062
2026-01-31,48892.46875
2026-02-28,48977.921875
2026-03-31,46341.511719
2026-04-30,49652.140625
2026-05-31,51032.460938
2026-06-30,52319.199219
2026-07-31,51839.261719
