data,valor
2021-07-31,6.0387
2021-08-31,6.1119
2021-09-30,6.2785
2021-10-31,6.593
2021-11-30,6.3223
2021-12-31,6.3049
2022-01-31,5.9782
2022-02-28,5.814
2022-03-31,5.3198
2022-04-30,5.1837
2022-05-31,5.1176
2022-06-30,5.4098
2022-07-31,5.2797
2022-08-31,5.1318
2022-09-30,5.3031
2022-10-31,5.2737
2022-11-30,5.4362
2022-12-31,5.633
2023-01-31,5.5471
2023-02-28,5.514
2023-03-31,5.5518
2023-04-30,5.4883
2023-05-31,5.4012
2023-06-30,5.2739
2023-07-31,5.1895
2023-08-31,5.313
2023-09-30,5.3197
2023-10-31,5.3537
2023-11-30,5.3628
2023-12-31,5.343
2024-01-31,5.3604
2024-02-29,5.381
2024-03-31,5.4065
2024-04-30,5.4794
2024-05-31,5.6311
2024-06-30,5.8909
2024-07-31,6.0695
2024-08-31,6.2224
2024-09-30,6.0652
2024-10-31,6.2522
2024-11-30,6.345178
2024-12-31,6.422608
2025-01-31,6.101281
2025-02-28,6.064281
2025-03-31,6.22665
2025-04-30,6.393862
2025-05-31,6.43915
2025-06-30,6.418485
2025-07-31,6.365372
2025-08-31,6.317119
2025-09-30,6.238303
2025-10-31,6.222775
2025-11-30,6.207325
2025-12-31,6.426735
2026-01-31,6.203474
2026-02-28,6.056935
2026-03-31,6.027728
2026-04-30,5.858231
2026-05-31,5.882353
2026-06-30,5.91716
2026-07-31,5.7826
