data,valor
2021-07-31,121801.0
2021-08-31,118781.0
2021-09-30,110979.0
2021-10-31,103501.0
2021-11-30,101915.0
2021-12-31,104822.0
2022-01-31,112388.0
2022-02-28,113142.0
2022-03-31,119999.0
2022-04-30,107876.0
2022-05-31,111351.0
2022-06-30,98542.0
2022-07-31,103165.0
2022-08-31,109523.0
2022-09-30,110037.0
2022-10-31,116037.0
2022-11-30,112486.0
2022-12-31,110031.0
2023-01-31,113532.0
2023-02-28,104932.0
2023-03-31,101882.0
2023-04-30,104432.0
2023-05-31,108335.0
2023-06-30,118087.0
2023-07-31,121943.0
2023-08-31,115742.0
2023-09-30,116565.0
2023-10-31,113144.0
2023-11-30,127331.0
2023-12-31,134185.0
2024-01-31,127752.0
2024-02-29,129020.0
2024-03-31,128106.0
2024-04-30,125924.0
2024-05-31,122098.0
2024-06-30,123907.0
2024-07-31,127652.0
2024-08-31,136004.0
2024-09-30,131816.0
2024-10-31,129713.0
2024-11-30,125668.0
2024-12-31,120283.0
2025-01-31,126135.0
2025-02-28,122799.0
2025-03-31,130260.0
2025-04-30,135067.0
2025-05-31,137027.0
2025-06-30,138855.0
2025-07-31,133071.0
2025-08-31,141422.0
2025-09-30,146237.0
2025-10-31,149540.0
2025-11-30,159072.0
2025-12-31,161125.0
2026-01-31,181364.0
2026-02-28,188787.0
2026-03-31,187462.0
2026-04-30,187318.0
2026-05-31,173788.0
2026-06-30,172024.0
2026-07-31,177866.0
