data,valor
2021-07-31,547.0
2021-08-31,534.0
2021-09-30,536.75
2021-10-31,568.25
2021-11-30,567.0
2021-12-31,593.25
2022-01-31,626.0
2022-02-28,697.5
2022-03-31,748.75
2022-04-30,818.25
2022-05-31,753.5
2022-06-30,743.75
2022-07-31,616.25
2022-08-31,673.75
2022-09-30,677.5
2022-10-31,691.5
2022-11-30,662.0
2022-12-31,678.5
2023-01-31,679.75
2023-02-28,629.5
2023-03-31,660.5
2023-04-30,636.0
2023-05-31,594.0
2023-06-30,554.5
2023-07-31,504.0
2023-08-31,461.0
2023-09-30,476.75
2023-10-31,478.75
2023-11-30,461.75
2023-12-31,471.25
2024-01-31,448.25
2024-02-29,415.75
2024-03-31,442.0
2024-04-30,439.5
2024-05-31,446.25
2024-06-30,397.25
2024-07-31,382.75
2024-08-31,378.0
2024-09-30,424.75
2024-10-31,410.75
2024-11-30,423.0
2024-12-31,458.5
2025-01-31,482.0
2025-02-28,453.5
2025-03-31,457.25
2025-04-30,467.25
2025-05-31,444.0
2025-06-30,420.5
2025-07-31,394.0
2025-08-31,398.0
2025-09-30,415.5
2025-10-31,431.5
2025-11-30,435.5
2025-12-31,440.25
2026-01-31,428.25
2026-02-28,438.75
2026-03-31,457.75
2026-04-30,464.75
2026-05-31,446.75
2026-06-30,412.75
2026-07-31,487.0
