data,valor
2021-07-31,14672.679688
2021-08-31,15259.240234
2021-09-30,14448.580078
2021-10-31,15498.389648
2021-11-30,15537.69043
2021-12-31,15644.969727
2022-01-31,14239.879883
2022-02-28,13751.400391
2022-03-31,14220.519531
2022-04-30,12334.639648
2022-05-31,12081.389648
2022-06-30,11028.740234
2022-07-31,12390.69043
2022-08-31,11816.200195
2022-09-30,10575.620117
2022-10-31,10988.150391
2022-11-30,11468.0
2022-12-31,10466.480469
2023-01-31,11584.549805
2023-02-28,11455.540039
2023-03-31,12221.910156
2023-04-30,12226.580078
2023-05-31,12935.290039
2023-06-30,13787.919922
2023-07-31,14346.019531
2023-08-31,14034.969727
2023-09-30,13219.320312
2023-10-31,12851.240234
2023-11-30,14226.219727
2023-12-31,15011.349609
2024-01-31,15164.009766
2024-02-29,16091.919922
2024-03-31,16379.459961
2024-04-30,15657.820312
2024-05-31,16735.019531
2024-06-30,17732.599609
2024-07-31,17599.400391
2024-08-31,17713.619141
2024-09-30,18189.169922
2024-10-31,18095.150391
2024-11-30,19218.169922
2024-12-31,19310.789062
2025-01-31,19627.439453
2025-02-28,18847.279297
2025-03-31,17299.289062
2025-04-30,17446.339844
2025-05-31,19113.769531
2025-06-30,20369.730469
2025-07-31,21122.449219
2025-08-31,21455.550781
2025-09-30,22660.009766
2025-10-31,23724.960938
2025-11-30,23365.689453
2025-12-31,23241.990234
2026-01-31,23461.820312
2026-02-28,22668.210938
2026-03-31,21590.630859
2026-04-30,24892.310547
2026-05-31,26972.619141
2026-06-30,26213.720703
2026-07-31,26095.494141
