data,valor
2021-08-31,-2.58731
2021-09-30,-6.653229
2021-10-31,-6.394964
2021-11-30,-1.334271
2021-12-31,2.491108
2022-01-31,7.123016
2022-02-28,0.852008
2022-03-31,6.152431
2022-04-30,-10.553631
2022-05-31,3.655705
2022-06-30,-11.364061
2022-07-31,4.526319
2022-08-31,6.576031
2022-09-30,0.595292
2022-10-31,5.344733
2022-11-30,-3.183236
2022-12-31,-2.422182
2023-01-31,3.671543
2023-02-28,-7.911503
2023-03-31,-2.629761
2023-04-30,2.446953
2023-05-31,3.904851
2023-06-30,8.899277
2023-07-31,3.310851
2023-08-31,-4.781687
2023-09-30,0.747933
2023-10-31,-3.119751
2023-11-30,12.725777
2023-12-31,5.519139
2024-01-31,-4.939031
2024-02-29,1.048812
2024-03-31,-0.734529
2024-04-30,-1.56841
2024-05-31,-3.039707
2024-06-30,1.449514
2024-07-31,3.040375
2024-08-31,6.901004
2024-09-30,-3.144806
2024-10-31,-1.689629
2024-11-30,-3.120547
2024-12-31,-4.128518
2025-01-31,4.886163
2025-02-28,-2.430893
2025-03-31,6.074494
2025-04-30,3.401415
2025-05-31,1.792905
2025-06-30,1.388164
2025-07-31,-4.394554
2025-08-31,6.636892
2025-09-30,3.422387
2025-10-31,2.213068
2025-11-30,6.447649
2025-12-31,1.379528
2026-01-31,12.784808
2026-02-28,3.905728
2026-03-31,-0.475267
2026-04-30,-0.103105
2026-05-31,-7.246454
2026-06-30,-0.995606
2026-07-31,3.342203
