data,valor
2021-08-31,2.017557
2021-09-30,4.464682
2021-10-31,4.259089
2021-11-30,-0.783007
2021-12-31,-0.544574
2022-01-31,-3.726978
2022-02-28,-3.789204
2022-03-31,-7.553203
2022-04-30,3.524328
2022-05-31,-3.754709
2022-06-30,9.016501
2022-07-31,0.034744
2022-08-31,-1.173135
2022-09-30,5.355436
2022-10-31,-1.995855
2022-11-30,-0.38385
2022-12-31,0.311299
2023-01-31,-3.211211
2023-02-28,1.657897
2023-03-31,-2.057809
2023-04-30,-2.287586
2023-05-31,1.177604
2023-06-30,-3.559231
2023-07-31,-2.724687
2023-08-31,3.49544
2023-09-30,2.953934
2023-10-31,0.264265
2023-11-30,-2.814058
2023-12-31,-1.099076
2024-01-31,2.063833
2024-02-29,0.343408
2024-03-31,0.942164
2024-04-30,2.052213
2024-05-31,1.663078
2024-06-30,5.736153
2024-07-31,2.010726
2024-08-31,0.295836
2024-09-30,-3.456118
2024-10-31,6.057206
2024-11-30,4.366308
2024-12-31,2.727016
2025-01-31,-4.911055
2025-02-28,-0.604299
2025-03-31,-1.385514
2025-04-30,-2.398363
2025-05-31,0.802495
2025-06-30,-3.295615
2025-07-31,1.770583
2025-08-31,-2.912791
2025-09-30,-1.68668
2025-10-31,1.133094
2025-11-30,-0.494238
2025-12-31,2.255667
2026-01-31,-5.240864
2026-02-28,-1.013642
2026-03-31,2.480238
2026-04-30,-4.682751
2026-05-31,0.681618
2026-06-30,2.575111
2026-07-31,-2.404326
