data,valor
2021-08-31,1.217278
2021-09-30,-4.289528
2021-10-31,5.837493
2021-11-30,-3.729359
2021-12-31,5.378138
2022-01-31,-3.320027
2022-02-28,-3.527447
2022-03-31,2.318353
2022-04-30,-4.905483
2022-05-31,0.039149
2022-06-30,-6.713196
2022-07-31,6.725168
2022-08-31,-4.063614
2022-09-30,-8.838089
2022-10-31,13.950804
2022-11-30,5.672634
2022-12-31,-4.170365
2023-01-31,2.832178
2023-02-28,-4.193329
2023-03-31,1.890728
2023-04-30,2.476432
2023-05-31,-3.489604
2023-06-30,4.556095
2023-07-31,3.347893
2023-08-31,-2.355546
2023-09-30,-3.497533
2023-10-31,-1.356797
2023-11-30,8.76783
2023-12-31,4.836176
2024-01-31,1.222519
2024-02-29,2.21778
2024-03-31,2.07963
2024-04-30,-5.002715
2024-05-31,2.301672
2024-06-30,1.118067
2024-07-31,4.406902
2024-08-31,1.763565
2024-09-30,1.845557
2024-10-31,-1.338733
2024-11-30,7.535744
2024-12-31,-5.269195
2025-01-31,4.702029
2025-02-28,-1.579875
2025-03-31,-4.195051
2025-04-30,-3.172253
2025-05-31,3.935914
2025-06-30,4.316764
2025-07-31,0.082121
2025-08-31,3.203868
2025-09-30,1.872904
2025-10-31,2.510848
2025-11-30,0.322837
2025-12-31,0.726935
2026-01-31,1.725183
2026-02-28,0.174778
2026-03-31,-5.382854
2026-04-30,7.143981
2026-05-31,2.779981
2026-06-30,2.521411
2026-07-31,-0.037211
