data,valor
2021-08-31,1.212177
2021-09-30,2.725834
2021-10-31,5.009156
2021-11-30,-4.10587
2021-12-31,-0.275213
2022-01-31,-5.181687
2022-02-28,-2.746643
2022-03-31,-8.500176
2022-04-30,-2.558363
2022-05-31,-1.275153
2022-06-30,5.709709
2022-07-31,-2.404899
2022-08-31,-2.801289
2022-09-30,3.338009
2022-10-31,-0.55439
2022-11-30,3.081326
2022-12-31,3.620171
2023-01-31,-1.524939
2023-02-28,-0.59671
2023-03-31,0.685525
2023-04-30,-1.143772
2023-05-31,-1.587013
2023-06-30,-2.35688
2023-07-31,-1.600337
2023-08-31,2.379812
2023-09-30,0.126098
2023-10-31,0.639141
2023-11-30,0.169975
2023-12-31,-0.369214
2024-01-31,0.325665
2024-02-29,0.384297
2024-03-31,0.473886
2024-04-30,1.348382
2024-05-31,2.768552
2024-06-30,4.613663
2024-07-31,3.031792
2024-08-31,2.519157
2024-09-30,-2.526362
2024-10-31,3.083168
2024-11-30,1.487125
2024-12-31,1.220293
2025-01-31,-5.003057
2025-02-28,-0.606433
2025-03-31,2.677469
2025-04-30,2.685417
2025-05-31,0.708306
2025-06-30,-0.320923
2025-07-31,-0.8275
2025-08-31,-0.758056
2025-09-30,-1.247656
2025-10-31,-0.248917
2025-11-30,-0.248282
2025-12-31,3.534694
2026-01-31,-3.473939
2026-02-28,-2.362212
2026-03-31,-0.482204
2026-04-30,-2.811955
2026-05-31,0.411758
2026-06-30,0.591722
2026-07-31,-1.714674
