data,valor
2021-08-31,-2.479454
2021-09-30,-6.568391
2021-10-31,-6.738212
2021-11-30,-1.532352
2021-12-31,2.852377
2022-01-31,7.21795
2022-02-28,0.67089
2022-03-31,6.060526
2022-04-30,-10.102584
2022-05-31,3.221291
2022-06-30,-11.503264
2022-07-31,4.691401
2022-08-31,6.162943
2022-09-30,0.469308
2022-10-31,5.452711
2022-11-30,-3.060231
2022-12-31,-2.182494
2023-01-31,3.181831
2023-02-28,-7.574957
2023-03-31,-2.906644
2023-04-30,2.502896
2023-05-31,3.73736
2023-06-30,9.001708
2023-07-31,3.265389
2023-08-31,-5.085163
2023-09-30,0.711064
2023-10-31,-2.934843
2023-11-30,12.538888
2023-12-31,5.382821
2024-01-31,-4.794128
2024-02-29,0.992548
2024-03-31,-0.708417
2024-04-30,-1.703277
2024-05-31,-3.038341
2024-06-30,1.481597
2024-07-31,3.022428
2024-08-31,6.542788
2024-09-30,-3.079321
2024-10-31,-1.595406
2024-11-30,-3.118423
2024-12-31,-4.2851
2025-01-31,4.865193
2025-02-28,-2.644785
2025-03-31,6.075782
2025-04-30,3.690312
2025-05-31,1.451132
2025-06-30,1.334044
2025-07-31,-4.165496
2025-08-31,6.275597
2025-09-30,3.404704
2025-10-31,2.258662
2025-11-30,6.374214
2025-12-31,1.290611
2026-01-31,12.561055
2026-02-28,4.092874
2026-03-31,-0.701849
2026-04-30,-0.076816
2026-05-31,-7.223011
2026-06-30,-1.01503
2026-07-31,1.046947
