data,valor
2021-08-31,1.457956
2021-09-30,0.393701
2021-10-31,10.980392
2021-11-30,-0.865729
2021-12-31,4.637323
2022-01-31,-11.295818
2022-02-28,-5.721964
2022-03-31,-4.012222
2022-04-30,-4.901332
2022-05-31,-4.283804
2022-06-30,1.02564
2022-07-31,8.214122
2022-08-31,-3.624733
2022-09-30,-5.530973
2022-10-31,3.156911
2022-11-30,5.90719
2022-12-31,-3.536977
2023-01-31,1.422221
2023-02-28,0.482036
2023-03-31,0.196248
2023-04-30,0.0
2023-05-31,1.523395
2023-06-30,0.857449
2023-07-31,1.942617
2023-08-31,3.264943
2023-09-30,-3.57763
2023-10-31,-2.005944
2023-11-30,6.7094
2023-12-31,3.167797
2024-01-31,3.497539
2024-02-29,5.430955
2024-03-31,4.091071
2024-04-30,-0.546824
2024-05-31,5.910657
2024-06-30,10.262808
2024-07-31,2.315871
2024-08-31,2.056369
2024-09-30,-1.423142
2024-10-31,5.368782
2024-11-30,9.297851
2024-12-31,1.203924
2025-01-31,-3.323527
2025-02-28,-0.367876
2025-03-31,-8.658008
2025-04-30,-1.212714
2025-05-31,6.899952
2025-06-30,-0.250787
2025-07-31,5.335451
2025-08-31,-1.045201
2025-09-30,1.510723
2025-10-31,3.384192
2025-11-30,-0.541938
2025-12-31,3.189087
2026-01-31,-3.194252
2026-02-28,-3.384876
2026-03-31,-4.183996
2026-04-30,5.87926
2026-05-31,6.931676
2026-06-30,1.219796
2026-07-31,-1.271665
