data,valor
2021-08-31,-2.3766
2021-09-30,0.514981
2021-10-31,5.868654
2021-11-30,-0.219974
2021-12-31,4.62963
2022-01-31,5.520438
2022-02-28,11.421725
2022-03-31,7.34767
2022-04-30,9.282137
2022-05-31,-7.913229
2022-06-30,-1.293962
2022-07-31,-17.142857
2022-08-31,9.330629
2022-09-30,0.556586
2022-10-31,2.066421
2022-11-30,-4.266088
2022-12-31,2.492447
2023-01-31,0.18423
2023-02-28,-7.392424
2023-03-31,4.924543
2023-04-30,-3.709311
2023-05-31,-6.603774
2023-06-30,-6.649832
2023-07-31,-9.107304
2023-08-31,-8.531746
2023-09-30,3.416486
2023-10-31,0.419507
2023-11-30,-3.550914
2023-12-31,2.05739
2024-01-31,-4.880637
2024-02-29,-7.250418
2024-03-31,6.313891
2024-04-30,-0.565611
2024-05-31,1.535836
2024-06-30,-10.980392
2024-07-31,-3.650094
2024-08-31,-1.241019
2024-09-30,12.367725
2024-10-31,-3.296057
2024-11-30,2.982349
2024-12-31,8.392435
2025-01-31,5.125409
2025-02-28,-5.912863
2025-03-31,0.826902
2025-04-30,2.186987
2025-05-31,-4.975923
2025-06-30,-5.292793
2025-07-31,-6.302021
2025-08-31,1.015228
2025-09-30,4.396985
2025-10-31,3.850782
2025-11-30,0.926999
2025-12-31,1.0907
2026-01-31,-2.725724
2026-02-28,2.451839
2026-03-31,4.330484
2026-04-30,1.529219
2026-05-31,-3.87305
2026-06-30,-7.61052
2026-07-31,14.233798
