data,valor
2021-08-31,3.997638
2021-09-30,-5.312585
2021-10-31,7.265832
2021-11-30,0.25358
2021-12-31,0.690446
2022-01-31,-8.981097
2022-02-28,-3.430362
2022-03-31,3.411428
2022-04-30,-13.261681
2022-05-31,-2.053161
2022-06-30,-8.712983
2022-07-31,12.3491
2022-08-31,-4.636467
2022-09-30,-10.498976
2022-10-31,3.900767
2022-11-30,4.366973
2022-12-31,-8.733166
2023-01-31,10.682381
2023-02-28,-1.113636
2023-03-31,6.689952
2023-04-30,0.038209
2023-05-31,5.796469
2023-06-30,6.591502
2023-07-31,4.047743
2023-08-31,-2.168196
2023-09-30,-5.811551
2023-10-31,-2.78441
2023-11-30,10.699197
2023-12-31,5.518893
2024-01-31,1.016965
2024-02-29,6.119161
2024-03-31,1.78686
2024-04-30,-4.40576
2024-05-31,6.879624
2024-06-30,5.961033
2024-07-31,-0.751154
2024-08-31,0.648992
2024-09-30,2.684662
2024-10-31,-0.516898
2024-11-30,6.206191
2024-12-31,0.481935
2025-01-31,1.639759
2025-02-28,-3.974844
2025-03-31,-8.213335
2025-04-30,0.850039
2025-05-31,9.557476
2025-06-30,6.570975
2025-07-31,3.695281
2025-08-31,1.577003
2025-09-30,5.613741
2025-10-31,4.699694
2025-11-30,-1.514319
2025-12-31,-0.529405
2026-01-31,0.945832
2026-02-28,-3.382557
2026-03-31,-4.753706
2026-04-30,15.292187
2026-05-31,8.357234
2026-06-30,-2.813588
2026-07-31,-1.12611
