data,valor
2021-08-31,0.132408
2021-09-30,-3.289254
2021-10-31,1.578075
2021-11-30,-0.527203
2021-12-31,3.039018
2022-01-31,-1.778386
2022-02-28,5.816157
2022-03-31,2.621877
2022-04-30,-2.046989
2022-05-31,-3.488194
2022-06-30,-2.094751
2022-07-31,-2.283684
2022-08-31,-2.841907
2022-09-30,-2.942552
2022-10-31,-1.594081
2022-11-30,6.730239
2022-12-31,4.221074
2023-01-31,6.033964
2023-02-28,-5.213785
2023-03-31,7.660341
2023-04-30,1.071609
2023-05-31,-1.316514
2023-06-30,-2.179339
2023-07-31,2.571445
2023-08-31,-1.63918
2023-09-30,-4.648642
2023-10-31,7.418429
2023-11-30,2.66472
2023-12-31,1.192283
2024-01-31,-0.678821
2024-02-29,-0.131808
2024-03-31,8.393213
2024-04-30,3.337242
2024-05-31,1.374705
2024-06-30,0.20664
2024-07-31,4.244535
2024-08-31,2.773544
2024-09-30,5.706153
2024-10-31,3.876937
2024-11-30,-2.968997
2024-12-31,-1.046295
2025-01-31,6.971704
2025-02-28,0.864002
2025-03-31,10.081782
2025-04-30,5.834506
2025-05-31,-0.487144
2025-06-30,0.167229
2025-07-31,-0.036424
2025-08-31,5.480991
2025-09-30,10.567985
2025-10-31,3.681522
2025-11-30,5.92888
2025-12-31,2.543686
2026-01-31,8.976785
2026-02-28,10.959081
2026-03-31,-11.144248
2026-04-30,-0.70789
2026-05-31,-1.174512
2026-06-30,-11.788183
2026-07-31,-0.253547
