data,valor
2021-08-31,-3.857547
2021-09-30,-6.550283
2021-10-31,-12.715859
2021-11-30,-2.158268
2021-12-31,4.136029
2022-01-31,3.265664
2022-02-28,-5.094016
2022-03-31,8.915707
2022-04-30,-8.549697
2022-05-31,-1.175403
2022-06-30,-16.440989
2022-07-31,4.730099
2022-08-31,11.657085
2022-09-30,-1.273409
2022-10-31,6.695749
2022-11-30,-11.128886
2022-12-31,-3.460699
2023-01-31,3.025286
2023-02-28,-11.142399
2023-03-31,-0.611137
2023-04-30,1.343658
2023-05-31,12.921348
2023-06-30,8.955224
2023-07-31,3.105024
2023-08-31,-7.705938
2023-09-30,-2.456812
2023-10-31,-7.319955
2023-11-30,12.898091
2023-12-31,6.440995
2024-01-31,-6.033564
2024-02-29,0.122212
2024-03-31,2.347418
2024-04-30,-7.798165
2024-05-31,-3.611938
2024-06-30,-0.433577
2024-07-31,2.125457
2024-08-31,4.335022
2024-09-30,-4.680352
2024-10-31,-0.724785
2024-11-30,-4.041131
2024-12-31,-7.89756
2025-01-31,6.340901
2025-02-28,-4.157553
2025-03-31,6.643835
2025-04-30,8.649114
2025-05-31,6.04926
2025-06-30,1.291341
2025-07-31,-6.521142
2025-08-31,5.406203
2025-09-30,2.085077
2025-10-31,0.355612
2025-11-30,5.842268
2025-12-31,-3.46811
2026-01-31,10.093381
2026-02-28,2.084002
2026-03-31,-5.048265
2026-04-30,-3.533332
2026-05-31,-4.120598
2026-06-30,-2.711951
2026-07-31,1.583626
