data,valor
2021-08-31,-8.199329
2021-09-30,-3.291627
2021-10-31,-1.612261
2021-11-30,-1.497067
2021-12-31,9.159992
2022-01-31,12.173095
2022-02-28,10.31533
2022-03-31,-1.581268
2022-04-30,5.561563
2022-05-31,-1.463486
2022-06-30,-0.490123
2022-07-31,-2.268657
2022-08-31,-7.910812
2022-09-30,-9.46932
2022-10-31,3.095805
2022-11-30,4.442075
2022-12-31,3.385505
2023-01-31,1.234162
2023-02-28,-3.088427
2023-03-31,1.006374
2023-04-30,-4.068416
2023-05-31,-10.005193
2023-06-30,19.811502
2023-07-31,-7.160058
2023-08-31,-5.931178
2023-09-30,-6.25
2023-10-31,0.941176
2023-11-30,4.331779
2023-12-31,-3.667846
2024-01-31,-5.508311
2024-02-29,-7.690734
2024-03-31,5.606027
2024-04-30,-3.86068
2024-05-31,5.194238
2024-06-30,-4.522822
2024-07-31,-10.604085
2024-08-31,-4.521147
2024-09-30,7.637475
2024-10-31,-7.04825
2024-11-30,0.712468
2024-12-31,0.884285
2025-01-31,4.38267
2025-02-28,-2.927063
2025-03-31,0.321305
2025-04-30,1.970929
2025-05-31,0.676492
2025-06-30,-1.679866
2025-07-31,-6.102026
2025-08-31,7.798284
2025-09-30,-3.375934
2025-10-31,9.78288
2025-11-30,3.455331
2025-12-31,-9.4265
2026-01-31,3.275109
2026-02-28,8.738548
2026-03-31,1.188162
2026-04-30,0.939368
2026-05-31,0.401861
2026-06-30,-5.898462
2026-07-31,7.857623
